Title,URL,Publish Date,Mentioned Times,Word Count
Giá trị vượt thời gian từ bản lĩnh của 'người tiên phong' số hóa ngành ngân hàng,/gia-tri-vuot-thoi-gian-tu-ban-linh-cua-nguoi-tien-phong-so-hoa-nganh-ngan-hang-185230918144213896.htm,2023-09-18,5,1848
"Số hóa di tích lịch sử, văn hóa",/so-hoa-di-tich-lich-su-van-hoa-185230913220159846.htm,2023-09-14,11,622
VietCredit ra mắt ứng dụng tài chính số TIN Card,/vietcredit-ra-mat-ung-dung-tai-chinh-so-tin-card-185230913134129217.htm,2023-09-13,3,891
Việt Nam sẽ trở thành quốc gia số,/viet-nam-se-tro-thanh-quoc-gia-so-185230825155258263.htm,2023-04-09,2,1594
"Chuyển đổi số sẽ thay đổi cách kết nối, nhắn tin và kinh doanh",/chuyen-doi-so-se-thay-doi-cach-ket-noi-nhan-tin-va-kinh-doanh-185230815003256177.htm,2023-08-15,3,814
Bạn trẻ cần số hóa hồ sơ tìm việc,/ban-tre-can-so-hoa-hosotimviec-18523080919422992.htm,2023-10-08,4,1066
NAPAS và các ngân hàng phối hợp tổ chức sự kiện 'Lễ ra mắt dịch vụ VietQRCash',/napas-va-cac-ngan-hang-phoi-hop-to-chuc-su-kien-le-ra-mat-dich-vu-vietqrcash-185230807124744108.htm,2023-07-08,5,916
Bình Phước hoàn thành số hóa thông tin đất đai tỉnh trong năm 2023,/binh-phuoc-hoan-thanh-so-hoa-thong-tin-dat-dai-tinh-trong-nam-2023-185230728164040999.htm,2023-07-28,5,619
Số hóa chuỗi cung ứng: Triển vọng mới tạo sức bật cho doanh nghiệp,/so-hoa-chuoi-cung-ung-trien-vong-moi-tao-suc-bat-cho-doanh-nghiep-185230726173553966.htm,2023-07-27,3,1023
Ra mắt ứng dụng 'Bản đồ địa chỉ đỏ' để giáo dục thế hệ trẻ,/ra-mat-ung-dung-ban-do-dia-chi-do-de-giao-duc-the-he-tre-185230723155544682.htm,2023-07-23,4,743
Công nghệ số hóa và đám mây: Yếu tố cốt lõi cho bản sắc Techcombank,/cong-nghe-so-hoa-va-dam-may-yeu-to-cot-loi-cho-ban-sac-techcombank-18523070715114626.htm,2023-07-07,7,1870
"Trường Đại học Phenikaa mở ngành Kỹ thuật phần mềm, đáp ứng nhu cầu công nghệ số",/truong-dai-hoc-phenikaa-mo-nganh-ky-thuat-phan-mem-dap-ung-nhu-cau-cong-nghe-so-185230703172700309.htm,2023-04-07,1,1238
Điều gì khiến phụ huynh không 'quên' trang web trường học?,/dieu-gi-khien-phu-huynh-khong-quen-trang-web-truong-hoc-185230627134451902.htm,2023-06-27,2,1564
KBTG mở văn phòng công nghệ đầu tiên tại Việt Nam,/kbtg-mo-van-phong-cong-nghe-dau-tien-tai-viet-nam-185230623102226027.htm,2023-06-23,3,584
Tác nghiệp thời số hóa,/tac-nghiep-thoi-so-hoa-185230618091342985.htm,2023-06-21,2,966
"Chủ tịch tỉnh Hải Dương yêu cầu khắc phục tình trạng manh mún, cát cứ thông tin",/chu-tich-tinh-hai-duong-yeu-cau-khac-phuc-tinh-trang-manh-mun-cat-cu-thong-tin-185230620105703881.htm,2023-06-20,3,1255
"Saigon Co.op đẩy mạnh số hóa, nâng cao trải nghiệm của khách hàng",/saigon-coop-day-manh-so-hoa-nang-cao-trai-nghiem-cua-khach-hang-185230510103128104.htm,2023-11-05,5,945
Bizfly Cloud Server: Doanh nghiệp giảm cả trăm triệu chi phí nhân sự vận hành,/bizfly-cloud-server-doanh-nghiep-giam-ca-tram-trieu-chi-phi-nhan-su-van-hanh-185230510111644497.htm,2023-10-05,2,1066
Chuyển đổi số bắt đầu từ học trò,/chuyen-doi-so-bat-dau-tu-hoc-tro-185230509192928456.htm,2023-10-05,4,795
Saigon Co.op hợp tác UrBox thúc đẩy chuyển đổi số,/saigon-coop-hop-tac-urbox-thuc-day-chuyen-doi-so-185230508172549183.htm,2023-08-05,3,774
