Title,URL,Publish Date,Mentioned Times,Word Count
Để bắt kịp chuyến tàu công nghệ bán dẫn,/de-bat-kip-chuyen-tau-cong-nghe-ban-dan-18523091921501046.htm,2023-09-20,3,802
Các ĐH tham gia soạn thảo đề án phát triển nguồn nhân lực về chip bán dẫn,/cac-dh-tham-gia-soan-thao-de-an-phat-trien-nguon-nhan-luc-ve-chip-ban-dan-185230916112213695.htm,2023-09-16,4,884
Hợp tác y khoa giữa Bệnh viện Quân y 175 và thành phố Leipzig,/hop-tac-y-khoa-giua-benh-vien-quan-y-175-va-thanh-pho-leipzig-18523091408482191.htm,2023-09-14,2,595
"Walmart, Carrefour, Boeing… đến Việt Nam tìm nhà cung cấp",/walmart-carrefour-boeing-den-viet-nam-tim-nha-cung-cap-185230913223335418.htm,2023-09-14,2,2313
Đào tạo nghề vẫn đối mặt nhiều thách thức,/dao-tao-nghe-van-doi-mat-nhieu-thach-thuc-185230910225523434.htm,2023-11-09,1,506
Schneider Electric được vinh danh nơi làm việc tốt nhất châu Á năm 2023,/schneider-electric-duoc-vinh-danh-noi-lam-viec-tot-nhat-chau-a-nam-2023-185230905161712422.htm,2023-05-09,1,481
Tại sao TP.HCM khó tuyển giáo viên?,/tai-sao-tphcm-kho-tuyen-giao-vien-185230901191223329.htm,2023-01-09,2,632
Sika Việt Nam hợp tác chiến lược nhằm nâng cao chất lượng nhân sự ngành xây dựng,/sika-viet-nam-hop-tac-chien-luoc-nham-nang-cao-chat-luong-nhan-su-nganh-xay-dung-185230831143034002.htm,2023-08-31,7,1211
Trường ĐH Sư phạm kỹ thuật Vĩnh Long: Nơi đào tạo nguồn nhân lực chất lượng cao,/truong-dh-su-pham-ky-thuat-vinh-long-noi-dao-tao-nguon-nhan-luc-chat-luong-cao-185230829090949935.htm,2023-08-29,3,856
Bất động sản Bình Dương và cú hích từ việc bùng nổ nguồn nhân lực,/bat-dong-san-binh-duong-va-cu-hich-tu-viec-bung-no-nguon-nhan-luc-185230824151117687.htm,2023-08-25,3,1094
Thêm gần 68 triệu người rơi vào tình trạng nghèo cùng cực,/them-gan-68-trieu-nguoi-roi-vao-tinh-trang-ngheo-cung-cuc-185230825041653114.htm,2023-08-25,2,331
Giải pháp cho vấn đề lao động trong ngành CNTT,/giai-phap-cho-van-de-lao-dong-trong-nganh-cntt-185230823144404268.htm,2023-08-23,6,688
Đầu tư xây dựng trường CĐ nghề đào tạo theo tiêu chuẩn Canada,/dau-tu-xay-dung-truong-cd-nghe-dao-tao-theo-tieu-chuan-canada-185230821172513054.htm,2023-08-21,2,579
Minh bạch tuyển dụng,/minh-bach-tuyen-dung-185230820014639592.htm,2023-08-20,1,774
Tăng tỷ lệ cán bộ văn hóa trong hệ thống lãnh đạo,/tang-ty-le-can-bo-van-hoa-trong-he-thong-lanh-dao-185230818163223431.htm,2023-08-19,2,845
Sở GD-ĐT TP.HCM nêu giải pháp nào đổi mới bồi dưỡng học sinh giỏi?,/so-gd-dt-tphcm-neu-giai-phap-nao-doi-moi-boi-duong-hoc-sinh-gioi-185230816140603018.htm,2023-08-16,3,1537
Hải Phòng lập quỹ nhà ở xã hội thu hút 1 triệu lao động vào năm 2030,/hai-phong-lap-quy-nha-o-xa-hoi-thu-hut-1-trieu-lao-dong-vao-nam-2030-185230812133015561.htm,2023-12-08,4,1432
Nguồn nhân lực bất động sản mới chỉ đáp ứng 30-40% yêu cầu,/nguon-nhan-luc-bat-dong-san-moi-chi-dap-ung-30-40-yeu-cau-185230812165546762.htm,2023-12-08,15,1256
Ngành giáo dục bị động trong việc chuẩn bị nhân lực cho môn tích hợp?,/nganh-giao-duc-bi-dong-trong-viec-chuan-bi-nhan-luc-cho-mon-tich-hop-185230812112432702.htm,2023-12-08,4,1528
Trải nghiệm đào tạo công dân toàn cầu tại Trường ĐH Văn Lang,/trai-nghiem-dao-tao-cong-dan-toan-cau-tai-truong-dh-van-lang-185230806185042379.htm,2023-06-08,1,1315
'Không tăng học phí đại học là thách thức rất lớn cho ngành giáo dục',/khong-tang-hoc-phi-dai-hoc-la-thach-thuc-rat-lon-cho-nganh-giao-duc-185230805171938145.htm,2023-05-08,1,713
Bộ trưởng Lê Minh Hoan: ‘Đừng trách thế hệ trẻ không chọn học nông nghiệp’,/bo-truong-le-minh-hoan-dung-trach-the-he-tre-khong-chon-hoc-nong-nghiep-185230804200340177.htm,2023-04-08,4,523
Làm nông nghiệp có cần phải đi học?,/lam-nong-nghiep-co-can-phai-di-hoc-18523080416103575.htm,2023-04-08,3,637
Thúc đẩy đổi mới sáng tạo và khởi nghiệp khu vực miền Trung-Tây nguyên,/thuc-day-doi-moi-sang-tao-va-khoi-nghiep-khu-vuc-mien-trung-tay-nguyen-185230804103349119.htm,2023-04-08,3,607
"Tìm giáo viên cho chương trình giáo dục phổ thông mới: Vướng cơ chế, thiếu nguồn tuyển",/tim-giao-vien-cho-chuong-trinh-giao-duc-pho-thong-moi-vuong-co-che-thieu-nguon-tuyen-185230802124754647.htm,2023-03-08,2,1616
Schneider Electric Việt Nam nhận giải thưởng 'lãnh đạo xuất sắc 2023',/schneider-electric-viet-nam-nhan-giai-thuong-lanh-dao-xuat-sac-2023-185230728102848345.htm,2023-07-28,3,639
Phần tiếp theo của trò chơi Immortals Fenyx Rising đã bị hủy bỏ,/phan-tiep-theo-cua-tro-choi-immortals-fenyx-rising-da-bi-huy-bo-185230726221944349.htm,2023-07-27,2,373
VIB: Mô hình phát triển bền vững với vai trò quan trọng của nguồn nhân lực,/vib-mo-hinh-phat-trien-ben-vung-voi-vai-tro-quan-trong-cua-nguon-nhan-luc-185230726100403592.htm,2023-07-26,4,1219
Lào trao Huân chương Lao động hạng 3 cho Trường ĐH Cửu Long,/lao-trao-huan-chuong-lao-dong-hang-3-cho-truong-dh-cuu-long-185230725094904054.htm,2023-07-25,5,642
Tiếp tục tăng cường tuyên truyền về mối quan hệ đặc biệt Việt Nam - Lào,/tiep-tuc-tang-cuong-tuyen-truyen-ve-moi-quan-he-dac-biet-viet-nam-lao-185230725040558054.htm,2023-07-25,2,530
TP.HCM và ĐBSCL hợp tác phát triển nhiều lĩnh vực quan trọng,/tphcm-va-dbscl-hop-tac-phat-trien-nhieu-linh-vuc-quan-trong-185230721175925118.htm,2023-07-21,4,1049
Lợi ích kép từ đầu tư chính sách xã hội,/loi-ich-kep-tu-dau-tu-chinh-sach-xa-hoi-18523071921395609.htm,2023-07-20,2,592
Trường ĐH Tây Đô triển khai trường học thông minh,/truong-dh-tay-do-trien-khai-truong-hoc-thong-minh-185230719205356447.htm,2023-07-19,2,543
Navi Property và khát vọng lội ngược dòng thị trường để vươn xa,/navi-property-va-khat-vong-loi-nguoc-dong-thi-truong-de-vuon-xa-185230717154635511.htm,2023-07-17,3,532
Trường ĐH Cửu Long đã đào tạo hơn 889 thạc sĩ,/truong-dh-cuu-long-da-dao-tao-hon-889-thac-si-185230715115603161.htm,2023-07-15,3,644
"Bình Dương ký kết hợp tác với bang Nebraska, Hoa Kỳ",/binh-duong-ky-ket-hop-tac-voi-bang-nebraska-hoa-ky-18523071214490508.htm,2023-12-07,3,1037
Đại học Tây Đô chắp cánh cho nhiều thế hệ sinh viên thành công,/dai-hoc-tay-do-chap-canh-cho-nhieu-the-he-sinh-vien-thanh-cong-185230711124348574.htm,2023-11-07,2,983
Giải bài toán nguồn nhân lực du lịch chất lượng cao,/giai-bai-toan-nguon-nhan-luc-du-lich-chat-luong-cao-185230619094351148.htm,2023-10-07,5,1207
Bình Định kêu gọi doanh nghiệp Nhật Bản đầu tư vào 24 dự án,/binh-dinh-keu-goi-doanh-nghiep-nhat-ban-dau-tu-vao-24-du-an-185230707164233123.htm,2023-07-07,2,1032
Trường ĐH Kinh tế - Tài chính TP.HCM ký kết hợp tác với 16 doanh nghiệp,/truong-dh-kinh-te-tai-chinh-tphcm-ky-ket-hop-tac-voi-16-doanh-nghiep-185230706105128139.htm,2023-06-07,2,406
Trường ĐH Phan Châu Trinh: Đào tạo nhân lực y tế từ mô hình Viện - Trường,/truong-dh-phan-chau-trinh-dao-tao-nhan-luc-y-te-tu-mo-hinh-vien-truong-185230703182525907.htm,2023-04-07,2,1360
Trường đại học Nam Cần Thơ - Môi trường lý tưởng để học tập và rèn luyện,/truong-dai-hoc-nam-can-tho-moi-truong-ly-tuong-de-hoc-tap-va-ren-luyen-185230629164953071.htm,2023-06-30,2,933
Trường ĐH Tài chính - Marketing: Chú trọng tăng cường trải nghiệm cho sinh viên,/truong-dh-tai-chinh-marketing-chu-trong-tang-cuong-trai-nghiem-cho-sinh-vien-185230628220812336.htm,2023-06-29,4,934
Gặp gỡ doanh nghiệp mở ra cơ hội việc làm cho sinh viên,/gap-go-doanh-nghiep-mo-ra-co-hoi-viec-lam-cho-sinh-vien-185230626101254041.htm,2023-06-26,2,415
KBTG mở văn phòng công nghệ đầu tiên tại Việt Nam,/kbtg-mo-van-phong-cong-nghe-dau-tien-tai-viet-nam-185230623102226027.htm,2023-06-23,2,584
Trường đại học Đà Lạt: Nơi đào tạo nguồn nhân lực chất lượng cao cho xã hội,/truong-dai-hoc-da-lat-noi-dao-tao-nguon-nhan-luc-chat-luong-cao-cho-xa-hoi-185230621133618299.htm,2023-06-21,6,1266
