Title,URL,Publish Date,Mentioned Times,Word Count
Chuyển đổi số giúp TPBank hoàn thành vượt mức kế hoạch 2020 - Báo Tiền Phong,https://tienphong.vn/chuyen-doi-so-giup-tpbank-hoan-thanh-vuot-muc-ke-hoach-2020-post1302926.tpo,2021-01-04,3,1068
EVNHCMC đạt danh hiệu Doanh nghiệp chuyển đổi số xuất sắc - Tiền Phong,https://tienphong.vn/evnhcmc-dat-danh-hieu-doanh-nghiep-chuyen-doi-so-xuat-sac-post1283325.tpo,2020-10-19,7,1009
'Chiến tranh nhân dân' và chuyển đổi số sẽ giúp chiến thắng COVID-19 - Báo Tiền Phong,https://tienphong.vn/chien-tranh-nhan-dan-va-chuyen-doi-so-se-giup-chien-thang-covid-19-post1398607.tpo,2021-12-05,6,1384
Kho bạc số: Tầm nhìn phát triển đến năm 2030 - Báo Tiền Phong,https://tienphong.vn/kho-bac-so-tam-nhin-phat-trien-den-nam-2030-post1323573.tpo,2021-02-20,6,4464
Hệ thống Y tế MEDLATEC toàn quốc ứng dụng chuyển đổi số nâng cao chất lượng y tế - Tiền Phong,https://tienphong.vn/he-thong-y-te-medlatec-toan-quoc-ung-dung-chuyen-doi-so-nang-cao-chat-luong-y-te-post1405132.tpo,2021-12-28,9,1883
LienVietPostBank - Ngân hàng số thấu hiểu khách hàng - Tiền Phong,https://tienphong.vn/lienvietpostbank-ngan-hang-so-thau-hieu-khach-hang-post1383815.tpo,2021-10-11,6,1392
"Đào tạo ngành Trí tuệ nhân tạo, Khoa học dữ liệu: Thiếu tầm nhìn và kết nối - Tiền Phong",https://tienphong.vn/dao-tao-nganh-tri-tue-nhan-tao-khoa-hoc-du-lieu-thieu-tam-nhin-va-ket-noi-post1379888.tpo,2021-09-27,5,1068
Anh Trần Đăng Nam trở thành tân Chủ tịch Hội Doanh nghiệp trẻ Hà Nội - Tiền Phong,https://tienphong.vn/anh-tran-dang-nam-tro-thanh-tan-chu-tich-hoi-doanh-nghiep-tre-ha-noi-post1342974.tpo,2021-06-04,2,940
Trung tâm Quản lý Tài sản Số (TSS) – Cơ hội cho doanh nghiệp Việt Nam số hóa tài sản - Tiền Phong,https://tienphong.vn/trung-tam-quan-ly-tai-san-so-tss-co-hoi-cho-doanh-nghiep-viet-nam-so-hoa-tai-san-post1406049.tpo,2021-12-31,12,974
Đại học Ngoại thương: Dấu ấn của đổi mới sáng tạo và khát vọng tuổi trẻ - Tiền Phong,https://tienphong.vn/dai-hoc-ngoai-thuong-dau-an-cua-doi-moi-sang-tao-va-khat-vong-tuoi-tre-post1306132.tpo,2021-02-01,1,1395
