Title,URL,Publish Date,Mentioned Times,Word Count
"Tăng tốc xây dựng Chính phủ số, Chính quyền số với nền tảng VLAKE",https://tienphong.vn/tang-toc-xay-dung-chinh-phu-so-chinh-quyen-so-voi-nen-tang-vlake-post1459904.tpo,2022-08-08,3,1378
BHXH Việt Nam chuyển đổi số phục vụ người dân và doanh nghiệp,https://tienphong.vn/bhxh-viet-nam-chuyen-doi-so-phuc-vu-nguoi-dan-va-doanh-nghiep-post1479175.tpo,2022-10-14,1,1135
Bảo hiểm Xã hội Việt Nam đón đầu xu hướng chuyển đổi số,https://tienphong.vn/bao-hiem-xa-hoi-viet-nam-don-dau-xu-huong-chuyen-doi-so-post1476977.tpo,2022-10-11,1,1127
"BHXH Việt Nam chuyển đổi số mạnh mẽ vì sự hài lòng người dân, doanh nghiệp",https://tienphong.vn/bhxh-viet-nam-chuyen-doi-so-manh-me-vi-su-hai-long-nguoi-dan-doanh-nghiep-post1476963.tpo,2022-10-11,1,1222
"BHXH Việt Nam: Chuyển đổi số lấy người dân, doanh nghiệp làm trung tâm phục vụ",https://tienphong.vn/bhxh-viet-nam-chuyen-doi-so-lay-nguoi-dan-doanh-nghiep-lam-trung-tam-phuc-vu-post1476962.tpo,2022-10-11,1,1223
Xây dựng Hải quan Việt Nam ngang tầm các nước phát triển ,https://tienphong.vn/xay-dung-hai-quan-viet-nam-ngang-tam-cac-nuoc-phat-trien-post1476009.tpo,2022-10-13,2,1409
Thủ tướng chủ trì Hội nghị sơ kết một năm triển khai Đề án 06,https://tienphong.vn/thu-tuong-chu-tri-hoi-nghi-so-ket-mot-nam-trien-khai-de-an-06-post1498120.tpo,2022-12-25,1,1022
Bộ GD&ĐT và Tập đoàn VNPT ký kết Thỏa thuận hợp tác chuyển đổi số trong ngành giáo dục ,https://tienphong.vn/bo-gddt-va-tap-doan-vnpt-ky-ket-thoa-thuan-hop-tac-chuyen-doi-so-trong-nganh-giao-duc-post1497552.tpo,2022-12-23,1,542
Quân đội chuyển giao 79 điểm đất quốc phòng phục vụ phát triển kinh tế,https://tienphong.vn/quan-doi-chuyen-giao-79-diem-dat-quoc-phong-phuc-vu-phat-trien-kinh-te-post1496790.tpo,2022-12-20,1,1599
MobiFone tham dự Diễn đàn quốc gia về Phát triển doanh nghiệp công nghệ số,https://tienphong.vn/mobifone-tham-du-dien-dan-quoc-gia-ve-phat-trien-doanh-nghiep-cong-nghe-so-post1496816.tpo,2022-12-20,1,977
