Title,URL,Publish Date,Mentioned Times,Word Count
Chỉ 30% cử nhân công nghệ thông tin đáp ứng yêu cầu doanh nghiệp,https://tienphong.vn/chi-30-cu-nhan-cong-nghe-thong-tin-dap-ung-yeu-cau-doanh-nghiep-post1346100.tpo,2021-06-15,2,1024
Người thất nghiệp có thể tìm việc làm trên ứng dụng Thanh niên Việt Nam - Tiền Phong,https://tienphong.vn/nguoi-that-nghiep-co-the-tim-viec-lam-tren-ung-dung-thanh-nien-viet-nam-post1357255.tpo,2021-07-20,2,794
Góc nhìn toàn cảnh ngành logistics & Top 10 Công ty uy tín ngành logistics năm 2021 - Tiền Phong,https://tienphong.vn/goc-nhin-toan-canh-nganh-logistics-top-10-cong-ty-uy-tin-nganh-logistics-nam-2021-post1402052.tpo,2021-12-17,0,5838
Giáo dục thông minh đến đâu vẫn cần những người thầy tâm tuệ,https://svvn.tienphong.vn/giao-duc-thong-minh-den-dau-van-can-nhung-nguoi-thay-tam-tue-post1394658.tpo,2021-11-20,2,1209
Kho bạc số: Tầm nhìn phát triển đến năm 2030 - Báo Tiền Phong,https://tienphong.vn/kho-bac-so-tam-nhin-phat-trien-den-nam-2030-post1323573.tpo,2021-02-20,1,4464
Nền tảng Hocmai.vn giành giải ở hạng mục Thu hẹp khoảng cách số - Báo Tiền Phong,https://tienphong.vn/nen-tang-hocmaivn-gianh-giai-o-hang-muc-thu-hep-khoang-cach-so-post1300349.tpo,2020-12-24,6,406
Lễ ký kết chuyển giao - ra mắt phần mềm 'Vitus System' - Tiền Phong,https://tienphong.vn/le-ky-ket-chuyen-giao-ra-mat-phan-mem-vitus-system-post1402442.tpo,2021-12-18,5,1005
EVNHCMC đạt danh hiệu Doanh nghiệp chuyển đổi số xuất sắc - Tiền Phong,https://tienphong.vn/evnhcmc-dat-danh-hieu-doanh-nghiep-chuyen-doi-so-xuat-sac-post1283325.tpo,2020-10-19,2,1009
18 công trình giành giải Nhất giải thưởng Tuổi trẻ sáng tạo trong Quân đội - Tiền Phong,https://tienphong.vn/18-cong-trinh-gianh-giai-nhat-giai-thuong-tuoi-tre-sang-tao-trong-quan-doi-post1242720.tpo,2020-05-24,1,754
Nhấp chuột vào bảo tàng - Báo Tiền Phong,https://tienphong.vn/nhap-chuot-vao-bao-tang-post1349444.tpo,2021-06-26,2,1164
BTV Ngọc Huy: Hụt hẫng khi chia tay BTV Diệp Chi - chào đón Khánh Vy với màu sắc mới - Tiền Phong,https://tienphong.vn/btv-ngoc-huy-hut-hang-khi-chia-tay-btv-diep-chi-chao-don-khanh-vy-voi-mau-sac-moi-post1382584.tpo,2021-10-06,1,1529
Hệ thống Y tế MEDLATEC toàn quốc ứng dụng chuyển đổi số nâng cao chất lượng y tế - Tiền Phong,https://tienphong.vn/he-thong-y-te-medlatec-toan-quoc-ung-dung-chuyen-doi-so-nang-cao-chat-luong-y-te-post1405132.tpo,2021-12-28,1,1883
25 năm hình thành và phát triển – Novartis cam kết chung tay cải thiện sức khỏe cộng đồng - Báo Tiền Phong,https://tienphong.vn/25-nam-hinh-thanh-va-phat-trien-novartis-cam-ket-chung-tay-cai-thien-suc-khoe-cong-dong-post1395078.tpo,2021-11-22,2,1505
Hoàng Hải mobile khẳng định vị thế số 1 công ty Việt tại Nhật,https://tienphong.vn/hoang-hai-mobile-khang-dinh-vi-the-so-1-cong-ty-viet-tai-nhat-post1317426.tpo,2021-03-04,1,1006
"Ngành Kiến trúc công trình, Kiến trúc nội thất, Thiết kế đồ họa: Cung cấp nhân lực cao - Báo Tiền Phong",https://tienphong.vn/nganh-kien-truc-cong-trinh-kien-truc-noi-that-thiet-ke-do-hoa-cung-cap-nhan-luc-cao-post1251931.tpo,2020-06-29,1,2262
Làm gì để quan chức không muốn tham nhũng? - Tiền Phong,https://tienphong.vn/lam-gi-de-quan-chuc-khong-muon-tham-nhung-post1304576.tpo,2021-01-11,1,1364
Cán bộ đoàn được tiếp động lực khi có định hướng đầu ra - Tiền Phong,https://tienphong.vn/can-bo-doan-duoc-tiep-dong-luc-khi-co-dinh-huong-dau-ra-post1381347.tpo,2021-10-02,1,1223
Tuổi trẻ Quân đội sẵn sàng trước chung kết thi tìm hiểu Nghị quyết Đại hội XIII của Đảng - Tiền Phong,https://tienphong.vn/tuoi-tre-quan-doi-san-sang-truoc-chung-ket-thi-tim-hieu-nghi-quyet-dai-hoi-xiii-cua-dang-post1402209.tpo,2021-12-17,1,680
Tuổi trẻ Thủ đô với Chiến dịch Thanh niên tình nguyện hè - Tiền Phong,https://tienphong.vn/tuoi-tre-thu-do-voi-chien-dich-thanh-nien-tinh-nguyen-he-post1343204.tpo,2021-06-05,1,1458
Cá cược bóng đá: Thị trường tỷ đô chờ 'cởi trói' - Báo Tiền Phong,https://tienphong.vn/ca-cuoc-bong-da-thi-truong-ty-do-cho-coi-troi-post1298670.tpo,2020-12-18,2,1022
Vì sao người dân 'ngại' nộp phạt vi phạm giao thông qua mạng? - Báo Tiền Phong,https://tienphong.vn/vi-sao-nguoi-dan-ngai-nop-phat-vi-pham-giao-thong-qua-mang-post1252813.tpo,2020-07-01,1,931
Mở mới ngân hàng số SeAMobile/SeANet có cơ hội nhận ngay eVoucher 50.000 đồng từ SeABank - Tiền Phong,https://tienphong.vn/mo-moi-ngan-hang-so-seamobileseanet-co-co-hoi-nhan-ngay-evoucher-50000-dong-tu-seabank-post1399145.tpo,2021-11-12,1,749
Bí thư thứ nhất T.Ư Đoàn Nguyễn Anh Tuấn trúng cử Đại biểu Quốc hội khoá XV - Tiền Phong,https://tienphong.vn/bi-thu-thu-nhat-tu-doan-nguyen-anh-tuan-trung-cu-dai-bieu-quoc-hoi-khoa-xv-post1345011.tpo,2021-06-11,1,632
Giao dịch qua thẻ Visa tại TPBank cao gấp 4 lần so với thị trường - Tiền Phong,https://tienphong.vn/giao-dich-qua-the-visa-tai-tpbank-cao-gap-4-lan-so-voi-thi-truong-post1298237.tpo,2020-12-16,1,712
Vì sao T99 được nhiều nghệ sĩ 'Chọn mặt gửi vàng' - Tiền Phong,https://tienphong.vn/vi-sao-t99-duoc-nhieu-nghe-si-chon-mat-gui-vang-post1314381.tpo,2021-02-20,1,755
“FWD Bộ 3 bảo vệ” bảo vệ đồng thời 3 bệnh hiểm nghèo phổ biến,https://tienphong.vn/fwd-bo-3-bao-ve-bao-ve-dong-thoi-3-benh-hiem-ngheo-pho-bien-post1331959.tpo,2021-04-28,2,877
Nhà báo-luật sư Hàn Ni: Nhiều nghệ sỹ liên lạc để hỏi thủ tục tố cáo bà Nguyễn Phương Hằng - Tiền Phong,https://tienphong.vn/nha-bao-luat-su-han-ni-nhieu-nghe-sy-lien-lac-de-hoi-thu-tuc-to-cao-ba-nguyen-phuong-hang-post1378484.tpo,2021-09-22,1,377
Phú Quốc xin thí điểm đón khách Nga - Tiền Phong,https://tienphong.vn/phu-quoc-xin-thi-diem-don-khach-nga-post1350592.tpo,2021-06-30,1,1154
Quy trình lĩnh thưởng xổ số dành cho người may mắn trúng giải - Tiền Phong,https://tienphong.vn/quy-trinh-linh-thuong-xo-so-danh-cho-nguoi-may-man-trung-giai-post1394633.tpo,2021-11-20,1,773
Website review homestay: giải pháp cho chủ host thu hút khách hàng - Báo Tiền Phong,https://tienphong.vn/website-review-homestay-giai-phap-cho-chu-host-thu-hut-khach-hang-post1241899.tpo,2020-05-21,1,1341
