Title,URL,Publish Date,Mentioned Times,Word Count
EVNSPC bám sát và đảm bảo hoàn thành các mục tiêu chuyển đổi số,https://tienphong.vn/evnspc-bam-sat-va-dam-bao-hoan-thanh-cac-muc-tieu-chuyen-doi-so-post1480224.tpo,2022-10-22,3,1531
EVNHANOI chuyển đổi thành doanh nghiệp hoạt động theo mô hình doanh nghiệp số ,https://tienphong.vn/evnhanoi-chuyen-doi-thanh-doanh-nghiep-hoat-dong-theo-mo-hinh-doanh-nghiep-so-post1458283.tpo,2022-08-02,3,1241
Hội Truyền thông số đề nghị cơ quan nhà nước vào cuộc vụ tranh chấp bản quyền 'sói Wolfoo',https://tienphong.vn/hoi-truyen-thong-so-de-nghi-co-quan-nha-nuoc-vao-cuoc-vu-tranh-chap-ban-quyen-soi-wolfoo-post1478071.tpo,2022-10-14,1,1190
Nhiệt điện Duyên Hải ứng dụng 'Quản lý Lịch chuyển đổi định kỳ thiết bị',https://tienphong.vn/nhiet-dien-duyen-hai-ung-dung-quan-ly-lich-chuyen-doi-dinh-ky-thiet-bi-post1476130.tpo,2022-10-08,2,1220
Tổng công ty Phát điện 1 kỷ niệm 10 năm thành lập,https://tienphong.vn/tong-cong-ty-phat-dien-1-ky-niem-10-nam-thanh-lap-post1499255.tpo,2022-12-29,2,967
Cao tốc Bến Lức - Long Thành: Nhà thầu đòi bồi thường hơn 1.600 tỷ đồng,https://tienphong.vn/cao-toc-ben-luc-long-thanh-nha-thau-doi-boi-thuong-hon-1600-ty-dong-post1498509.tpo,2022-12-27,1,763
"Năm 2022, EVNGENCO2 vượt qua khó khăn, hoàn thành nhiệm vụ",https://tienphong.vn/nam-2022-evngenco2-vuot-qua-kho-khan-hoan-thanh-nhiem-vu-post1498448.tpo,2022-12-26,1,1463
EVNHCMC được trao giải thưởng Doanh nghiệp sáng tạo ASEAN năm 2022,https://tienphong.vn/evnhcmc-duoc-trao-giai-thuong-doanh-nghiep-sang-tao-asean-nam-2022-post1498280.tpo,2022-12-26,3,1053
EVNSPC: Chuyển đổi số trong công tác chăm sóc khách hàng,https://tienphong.vn/evnspc-chuyen-doi-so-trong-cong-tac-cham-soc-khach-hang-post1496413.tpo,2022-12-19,1,760
EVNSPC: Khẳng định quyết tâm chuyển đổi số toàn diện của ngành Điện ,https://tienphong.vn/evnspc-khang-dinh-quyet-tam-chuyen-doi-so-toan-dien-cua-nganh-dien-post1496414.tpo,2022-12-19,1,817
Đoàn Thanh niên EVN: Khẳng định vai trò tiên phong trong phong trào sáng tạo trẻ,https://tienphong.vn/doan-thanh-nien-evn-khang-dinh-vai-tro-tien-phong-trong-phong-trao-sang-tao-tre-post1495085.tpo,2022-12-14,1,1312
MobiFone và Cục Truyền thông CAND ký hợp tác trong lĩnh vực chuyển đổi số,https://tienphong.vn/mobifone-va-cuc-truyen-thong-cand-ky-hop-tac-trong-linh-vuc-chuyen-doi-so-post1493641.tpo,2022-12-09,1,1098
