Title,URL,Publish Date,Mentioned Times,Word Count
Những kết quả đáng ghi nhận của VNPT năm 2022,https://tienphong.vn/nhung-ket-qua-dang-ghi-nhan-cua-vnpt-nam-2022-post1497419.tpo,2022-12-22,1,1258
"Hải Phòng đẩy mạnh chuyển đổi kinh tế số, xã hội số",https://tienphong.vn/hai-phong-day-manh-chuyen-doi-kinh-te-so-xa-hoi-so-post1497134.tpo,2022-12-21,1,742
MobiFone tham dự Diễn đàn quốc gia về Phát triển doanh nghiệp công nghệ số,https://tienphong.vn/mobifone-tham-du-dien-dan-quoc-gia-ve-phat-trien-doanh-nghiep-cong-nghe-so-post1496816.tpo,2022-12-20,1,977
Lumitel: 9 năm hành trình phổ cập viễn thông và dịch vụ số trên đất Burundi,https://tienphong.vn/lumitel-9-nam-hanh-trinh-pho-cap-vien-thong-va-dich-vu-so-tren-dat-burundi-post1496601.tpo,2022-12-19,1,2711
Xây dựng lẽ sống cao đẹp trong thanh niên vì sự phồn vinh của đất nước,https://tienphong.vn/xay-dung-le-song-cao-dep-trong-thanh-nien-vi-su-phon-vinh-cua-dat-nuoc-post1494040.tpo,2022-12-14,1,2574
Tăng cường hợp tác Việt Nam-Tanzania trong lĩnh vực thông tin và truyền thông,https://tienphong.vn/tang-cuong-hop-tac-viet-nam-tanzania-trong-linh-vuc-thong-tin-va-truyen-thong-post1494026.tpo,2022-12-10,1,612
Làm lợi hàng trăm tỷ đồng từ ứng dụng công nghệ,https://tienphong.vn/lam-loi-hang-tram-ty-dong-tu-ung-dung-cong-nghe-post1492116.tpo,2022-12-04,1,1239
Manulife Việt Nam tiếp tục thúc đẩy mục tiêu chống biến đổi khí hậu với cam kết trồng rừng,https://tienphong.vn/manulife-viet-nam-tiep-tuc-thuc-day-muc-tieu-chong-bien-doi-khi-hau-voi-cam-ket-trong-rung-post1490363.tpo,2022-11-28,1,282
Hệ sinh thái số ngân hàng: Cơ hội tăng trưởng cho doanh nghiệp,https://tienphong.vn/he-sinh-thai-so-ngan-hang-co-hoi-tang-truong-cho-doanh-nghiep-post1490231.tpo,2022-11-28,0,1325
Quốc hội giao nhiệm vụ cho các 'tư lệnh ngành' sau chất vấn ,https://tienphong.vn/quoc-hoi-giao-nhiem-vu-cho-cac-tu-lenh-nganh-sau-chat-van-post1486621.tpo,2022-11-15,1,1354
