Title,URL,Publish Date,Mentioned Times,Word Count
"Tạo cá tính riêng, chi tiêu dễ dàng với thẻ tín dụng mDigi của MSB",https://tienphong.vn/tao-ca-tinh-rieng-chi-tieu-de-dang-voi-the-tin-dung-mdigi-cua-msb-post1570941.tpo,2023-09-21,0,771
Cảnh giác với những thủ đoạn mới của tội phạm mạng ,https://tienphong.vn/canh-giac-voi-nhung-thu-doan-moi-cua-toi-pham-mang-post1570571.tpo,2023-09-20,1,1502
"""Cơn mưa quà tặng"" mừng sinh nhật 28 năm của NCB",https://tienphong.vn/con-mua-qua-tang-mung-sinh-nhat-28-nam-cua-ncb-post1570318.tpo,2023-09-19,1,948
"SeABank được vinh danh 2 sản phẩm dịch vụ, tài chính tiêu biểu và top 100 thương hiệu giá trị nhất Việt Nam",https://tienphong.vn/seabank-duoc-vinh-danh-2-san-pham-dich-vu-tai-chinh-tieu-bieu-va-top-100-thuong-hieu-gia-tri-nhat-viet-nam-post1570150.tpo,2023-09-18,3,885
Những chuyển đổi kiến tạo di sản ngân hàng thế giới của “người tiên phong”,https://tienphong.vn/nhung-chuyen-doi-kien-tao-di-san-ngan-hang-the-gioi-cua-nguoi-tien-phong-post1570130.tpo,2023-09-18,3,1600
Giá vé live show của ca sĩ Việt,https://tienphong.vn/gia-ve-live-show-cua-ca-si-viet-post1569278.tpo,2023-09-16,2,1621
BIC ra mắt sản phẩm bảo hiểm Tai nạn mở rộng trên ứng dụng ngân hàng số BIDV SmartBanking,https://tienphong.vn/bic-ra-mat-san-pham-bao-hiem-tai-nan-mo-rong-tren-ung-dung-ngan-hang-so-bidv-smartbanking-post1569274.tpo,2023-09-15,0,273
Hoạt động nghệ thuật giúp nữ sinh Ngân hàng phát triển năng khiếu của bản thân,https://tienphong.vn/hoat-dong-nghe-thuat-giup-nu-sinh-ngan-hang-phat-trien-nang-khieu-cua-ban-than-post1568527.tpo,2023-09-14,0,1199
Nhân viên ngân hàng lập nhóm Zalo với hàng trăm đồng nghiệp để bán giấy tờ giả,https://tienphong.vn/nhan-vien-ngan-hang-lap-nhom-zalo-voi-hang-tram-dong-nghiep-de-ban-giay-to-gia-post1567403.tpo,2023-09-08,0,491
BIDV lần thứ 6 liên tiếp nhận giải “Ngân hàng SME tốt nhất Việt Nam”,https://tienphong.vn/bidv-lan-thu-6-lien-tiep-nhan-giai-ngan-hang-sme-tot-nhat-viet-nam-post1567370.tpo,2023-09-08,1,804
