Title,URL,Publish Date,Mentioned Times,Word Count
Đoàn đại biểu Đảng ta kết thúc tốt đẹp chuyến thăm và dự Đại hội Đảng Cách mạng Tanzania,https://tienphong.vn/doan-dai-bieu-dang-ta-ket-thuc-tot-dep-chuyen-tham-va-du-dai-hoi-dang-cach-mang-tanzania-post1494792.tpo,2022-12-13,2,1366
Tăng cường hợp tác Việt Nam-Tanzania trong lĩnh vực thông tin và truyền thông,https://tienphong.vn/tang-cuong-hop-tac-viet-nam-tanzania-trong-linh-vuc-thong-tin-va-truyen-thong-post1494026.tpo,2022-12-10,3,612
Ra mắt mô hình “đại học số” đầu tiên ở Việt Nam,https://tienphong.vn/ra-mat-mo-hinh-dai-hoc-so-dau-tien-o-viet-nam-post1487326.tpo,2022-11-18,1,730
Chuyển đổi số trước tiên là phải chuyển đổi về nhận thức,https://tienphong.vn/chuyen-doi-so-truoc-tien-la-phai-chuyen-doi-ve-nhan-thuc-post1482273.tpo,2022-10-30,1,1433
Thứ trưởng Bộ Thông tin và Truyền thông: Chuyển đổi số là nhiệm vụ có ý nghĩa chiến lược đặc biệt,https://tienphong.vn/thu-truong-bo-thong-tin-va-truyen-thong-chuyen-doi-so-la-nhiem-vu-co-y-nghia-chien-luoc-dac-biet-post1482060.tpo,2022-10-29,2,554
"BHXH Việt Nam chuyển đổi số mạnh mẽ vì sự hài lòng người dân, doanh nghiệp",https://tienphong.vn/bhxh-viet-nam-chuyen-doi-so-manh-me-vi-su-hai-long-nguoi-dan-doanh-nghiep-post1476963.tpo,2022-10-11,1,1222
"BHXH Việt Nam: Chuyển đổi số lấy người dân, doanh nghiệp làm trung tâm phục vụ",https://tienphong.vn/bhxh-viet-nam-chuyen-doi-so-lay-nguoi-dan-doanh-nghiep-lam-trung-tam-phuc-vu-post1476962.tpo,2022-10-11,1,1223
"Tránh cát cứ thông tin, sợ mất lợi ích khi chuyển đổi số",https://tienphong.vn/tranh-cat-cu-thong-tin-so-mat-loi-ich-khi-chuyen-doi-so-post1476593.tpo,2022-10-10,2,1044
Bán nông sản thời chuyển đổi số ,https://tienphong.vn/ban-nong-san-thoi-chuyen-doi-so-post1465952.tpo,2022-09-02,1,1434
BHXH Việt Nam trong nhóm 3 về chuyển đổi số,https://tienphong.vn/bhxh-viet-nam-trong-nhom-3-ve-chuyen-doi-so-post1462457.tpo,2022-08-17,1,145
Nhiều doanh nghiệp tố bị sập bẫy một công ty nước ngoài,https://tienphong.vn/nhieu-doanh-nghiep-to-bi-sap-bay-mot-cong-ty-nuoc-ngoai-post1461632.tpo,2022-08-15,2,1437
BHXH Việt Nam tiến thêm 1 bậc xếp hạng về chuyển đổi số,https://tienphong.vn/bhxh-viet-nam-tien-them-1-bac-xep-hang-ve-chuyen-doi-so-post1460265.tpo,2022-08-09,1,575
Lao động Việt ở nước ngoài lao đao vì lạm phát,https://tienphong.vn/lao-dong-viet-o-nuoc-ngoai-lao-dao-vi-lam-phat-post1459044.tpo,2022-08-05,1,1166
Dấu ấn bền vững của BGSW Việt Nam trong phát triển công nghệ phần mềm,https://tienphong.vn/dau-an-ben-vung-cua-bgsw-viet-nam-trong-phat-trien-cong-nghe-phan-mem-post1444529.tpo,2022-06-08,1,1067
Chia sẻ định hướng phát triển của Việt Nam tại Diễn đàn kinh tế thế giới,https://tienphong.vn/chia-se-dinh-huong-phat-trien-cua-viet-nam-tai-dien-dan-kinh-te-the-gioi-post1440956.tpo,2022-05-24,2,1962
Mở cửa thị trường: Cơ hội cho lao động Việt,https://tienphong.vn/mo-cua-thi-truong-co-hoi-cho-lao-dong-viet-post1416767.tpo,2022-02-17,1,1143
"Đại dịch không giảm nhiệt, lối đi nào cho lựa chọn du học?",https://tienphong.vn/dai-dich-khong-giam-nhiet-loi-di-nao-cho-lua-chon-du-hoc-post1414880.tpo,2022-02-09,0,1111
Đại dịch COVID-19: Khó khăn? Cơ hội? Lựa chọn nào cho Du học sinh?,https://tienphong.vn/dai-dich-covid-19-kho-khan-co-hoi-lua-chon-nao-cho-du-hoc-sinh-post1399799.tpo,2021-12-28,0,2387
Hơn 170 trí thức trẻ Việt Nam toàn cầu 'hiến kế' chuyển đổi số quốc gia,https://tienphong.vn/hon-170-tri-thuc-tre-viet-nam-toan-cau-hien-ke-chuyen-doi-so-quoc-gia-post1395808.tpo,2021-11-25,1,1544
Chuyển đổi số thúc đẩy đào tạo lao động ,https://tienphong.vn/chuyen-doi-so-thuc-day-dao-tao-lao-dong-post1394872.tpo,2021-11-22,2,906
Nâng cao năng lực số cho thanh niên,https://tienphong.vn/nang-cao-nang-luc-so-cho-thanh-nien-post1379117.tpo,2021-09-23,1,782
"Cơ hội khởi nghiệp số, sàn thương mại điện tử cho thanh niên",https://tienphong.vn/co-hoi-khoi-nghiep-so-san-thuong-mai-dien-tu-cho-thanh-nien-post1378928.tpo,2021-09-23,1,1128
Lao động ở nước ngoài về nước khó tìm việc: Lãng phí 'tay nghề cao',https://tienphong.vn/lao-dong-o-nuoc-ngoai-ve-nuoc-kho-tim-viec-lang-phi-tay-nghe-cao-post1320041.tpo,2021-03-15,1,1177
Sinh viên Việt Nam ứng dụng công nghệ mới để giải bài toán thực tiễn,https://tienphong.vn/sinh-vien-viet-nam-ung-dung-cong-nghe-moi-de-giai-bai-toan-thuc-tien-post1299247.tpo,2020-12-20,1,1196
"Việt Nam đồng hành cùng APEC để biến tầm nhìn, ước vọng thành trái ngọt",https://tienphong.vn/viet-nam-dong-hanh-cung-apec-de-bien-tam-nhin-uoc-vong-thanh-trai-ngot-post1291816.tpo,2020-11-21,1,1629
"Số hóa hồ sơ 23 triệu học sinh và 1,4 triệu giáo viên",https://tienphong.vn/so-hoa-ho-so-23-trieu-hoc-sinh-va-14-trieu-giao-vien-post1282456.tpo,2020-10-16,1,956
