Title,URL,Publish Date,Mentioned Times,Word Count
"Nhiều kỳ vọng, thiếu bom tấn",https://tienphong.vn/nhieu-ky-vong-thieu-bom-tan-post1499513.tpo,2022-12-31,3,1199
"'Ét ô ét, ô dề' và những cụm từ gây bão mạng của giới trẻ năm 2022",https://tienphong.vn/et-o-et-o-de-va-nhung-cum-tu-gay-bao-mang-cua-gioi-tre-nam-2022-post1499444.tpo,2022-12-30,1,1042
Điểm mặt 5 tính năng mới trên BIZ MBBank cho doanh nghiệp ,https://tienphong.vn/diem-mat-5-tinh-nang-moi-tren-biz-mbbank-cho-doanh-nghiep-post1499366.tpo,2022-12-29,3,1245
Giới thiệu Luật Biên phòng Việt Nam trên không gian số hiện đại,https://tienphong.vn/gioi-thieu-luat-bien-phong-viet-nam-tren-khong-gian-so-hien-dai-post1498765.tpo,2022-12-27,1,796
Hà Nội quan tâm tạo môi trường thuận lợi cho khởi nghiệp sáng tạo,https://tienphong.vn/ha-noi-quan-tam-tao-moi-truong-thuan-loi-cho-khoi-nghiep-sang-tao-post1498628.tpo,2022-12-27,1,1037
Gen Z chọn quà gì cho gia đình ngày Tết,https://tienphong.vn/gen-z-chon-qua-gi-cho-gia-dinh-ngay-tet-post1498428.tpo,2022-12-26,1,946
Đưa nông sản Việt lên sàn GrabMart: Hiện thực hoá sứ mệnh 'Số hoá nông sản Việt',https://tienphong.vn/dua-nong-san-viet-len-san-grabmart-hien-thuc-hoa-su-menh-so-hoa-nong-san-viet-post1498389.tpo,2022-12-26,1,1094
EVNHCMC được trao giải thưởng Doanh nghiệp sáng tạo ASEAN năm 2022,https://tienphong.vn/evnhcmc-duoc-trao-giai-thuong-doanh-nghiep-sang-tao-asean-nam-2022-post1498280.tpo,2022-12-26,1,1053
"Đưa đặc sản vùng miền, nông sản Việt lên chợ công nghệ ",https://tienphong.vn/dua-dac-san-vung-mien-nong-san-viet-len-cho-cong-nghe-post1497173.tpo,2022-12-23,1,462
SIBA Food được vinh danh Top 10 Sản phẩm – Dịch vụ tin dùng Việt Nam 2022,https://tienphong.vn/siba-food-duoc-vinh-danh-top-10-san-pham-dich-vu-tin-dung-viet-nam-2022-post1497177.tpo,2022-12-22,1,739
MobiFone tham dự Diễn đàn quốc gia về Phát triển doanh nghiệp công nghệ số,https://tienphong.vn/mobifone-tham-du-dien-dan-quoc-gia-ve-phat-trien-doanh-nghiep-cong-nghe-so-post1496816.tpo,2022-12-20,6,977
