Title,URL,Publish Date,Mentioned Times,Word Count
Dấu ấn chuyển đổi số trong các hoạt động tình nguyện của tuổi trẻ Hà Tĩnh,https://tienphong.vn/dau-an-chuyen-doi-so-trong-cac-hoat-dong-tinh-nguyen-cua-tuoi-tre-ha-tinh-post1568838.tpo,2023-09-13,1,788
Chuyển đổi số và câu chuyện của “Người dẫn dắt” ,https://tienphong.vn/chuyen-doi-so-va-cau-chuyen-cua-nguoi-dan-dat-post1566703.tpo,2023-09-06,0,1279
"Chủ tịch nước Võ Văn Thưởng gặp gỡ, biểu dương các thế hệ thanh niên tình nguyện",https://tienphong.vn/chu-tich-nuoc-vo-van-thuong-gap-go-bieu-duong-cac-the-he-thanh-nien-tinh-nguyen-post1566675.tpo,2023-09-06,1,997
Bốn bản án khép lại loạt sai phạm của cựu Chủ tịch TP Hà Nội Nguyễn Đức Chung,https://tienphong.vn/bon-ban-an-khep-lai-loat-sai-pham-cua-cuu-chu-tich-tp-ha-noi-nguyen-duc-chung-post1565775.tpo,2023-09-05,1,1731
Techcombank là thương hiệu ngân hàng tư nhân giá trị nhất Việt Nam 2023,https://tienphong.vn/techcombank-la-thuong-hieu-ngan-hang-tu-nhan-gia-tri-nhat-viet-nam-2023-post1560802.tpo,2023-08-16,0,850
Ra mắt công trình Bản đồ địa điểm tình nguyện,https://tienphong.vn/ra-mat-cong-trinh-ban-do-dia-diem-tinh-nguyen-post1558282.tpo,2023-08-07,1,787
Chuyển đổi số và câu chuyện của 'Người dẫn dắt',https://tienphong.vn/chuyen-doi-so-va-cau-chuyen-cua-nguoi-dan-dat-post1554501.tpo,2023-07-25,0,1277
Chiến sĩ tình nguyện TP. HCM tham gia hoạt động Ngày cao điểm ‘chuyển đổi số’,https://tienphong.vn/chien-si-tinh-nguyen-tp-hcm-tham-gia-hoat-dong-ngay-cao-diem-chuyen-doi-so-post1551691.tpo,2023-07-16,1,868
 Ngày hoạt động cao điểm Chiến sĩ tình nguyện tham gia chuyển đổi số ở TPHCM ,https://tienphong.vn/ngay-hoat-dong-cao-diem-chien-si-tinh-nguyen-tham-gia-chuyen-doi-so-o-tphcm-post1551666.tpo,2023-07-16,1,727
"VNPT tiên phong kết nối, đồng hành thúc đẩy triển khai hiệu quả Đề án 06",https://tienphong.vn/vnpt-tien-phong-ket-noi-dong-hanh-thuc-day-trien-khai-hieu-qua-de-an-06-post1550975.tpo,2023-07-13,2,1274
Chủ tịch Hà Nội Trần Sỹ Thanh nói về tình trạng chuyển đổi số chậm ,https://tienphong.vn/chu-tich-ha-noi-tran-sy-thanh-noi-ve-tinh-trang-chuyen-doi-so-cham-post1548929.tpo,2023-07-05,5,1145
The Finance Asia vinh danh Techcombank là 'Ngân hàng tốt nhất Việt Nam',https://tienphong.vn/the-finance-asia-vinh-danh-techcombank-la-ngan-hang-tot-nhat-viet-nam-post1548702.tpo,2023-07-05,0,788
Techcombank đồng hành cùng diễn đàn doanh nghiệp khu vực của Singapore lần thứ 7,https://tienphong.vn/techcombank-dong-hanh-cung-dien-dan-doanh-nghiep-khu-vuc-cua-singapore-lan-thu-7-post1547851.tpo,2023-07-02,0,755
‘Xoá sổ’ nạn thi hộ chỉ bằng tấm thẻ CCCD gắn chip,https://tienphong.vn/xoa-so-nan-thi-ho-chi-bang-tam-the-cccd-gan-chip-post1544329.tpo,2023-06-20,1,1370
'Độc nhất vô nhị' kho phim tư liệu quý ,https://tienphong.vn/doc-nhat-vo-nhi-kho-phim-tu-lieu-quy-post1529394.tpo,2023-05-03,0,2044
Xoài Đồng Tháp xuất khẩu đạt gần 2.700 tỷ đồng,https://tienphong.vn/xoai-dong-thap-xuat-khau-dat-gan-2700-ty-dong-post1530264.tpo,2023-04-28,1,792
