Title,URL,Publish Date,Mentioned Times,Word Count
"Đào tạo ngành Trí tuệ nhân tạo, Khoa học dữ liệu: Thiếu tầm nhìn và kết nối - Tiền Phong",https://tienphong.vn/dao-tao-nganh-tri-tue-nhan-tao-khoa-hoc-du-lieu-thieu-tam-nhin-va-ket-noi-post1379888.tpo,2021-09-27,3,1068
Top những trường lấy điểm chuẩn ngành trí tuệ nhân tạo cao nhất năm 2020 - Báo Tiền Phong,https://tienphong.vn/top-nhung-truong-lay-diem-chuan-nganh-tri-tue-nhan-tao-cao-nhat-nam-2020-post1366678.tpo,2021-08-17,12,597
Bất ngờ với khả năng của MC trí tuệ nhân tạo khi lần đầu dẫn bản tin thời sự,https://tienphong.vn/bat-ngo-voi-kha-nang-cua-mc-tri-tue-nhan-tao-khi-lan-dau-dan-ban-tin-thoi-su-post1289213.tpo,2020-11-11,3,459
Ba nam sinh lập trình thuật toán đánh bại trí tuệ nhân tạo AI - Tiền Phong,https://tienphong.vn/ba-nam-sinh-lap-trinh-thuat-toan-danh-bai-tri-tue-nhan-tao-ai-post1278112.tpo,2020-09-29,8,719
Israel nói đã sử dụng trí tuệ nhân tạo và siêu máy tính trong cuộc tấn công Hamas - Tiền Phong,https://tienphong.vn/israel-noi-da-su-dung-tri-tue-nhan-tao-va-sieu-may-tinh-trong-cuoc-tan-cong-hamas-post1341265.tpo,2021-05-30,3,773
Nữ sinh ảo đầu tiên của Trung Quốc nhập học - Tiền Phong,https://tienphong.vn/nu-sinh-ao-dau-tien-cua-trung-quoc-nhap-hoc-post1343415.tpo,2021-06-06,8,1145
"Siêu tăng Armata sở hữu trí tuệ nhân tạo, tấn công mục tiêu cực chính xác",https://tienphong.vn/sieu-tang-armata-so-huu-tri-tue-nhan-tao-tan-cong-muc-tieu-cuc-chinh-xac-post1354321.tpo,2021-07-12,2,492
Robot Trí Nhân tự hào Việt Nam - Tiền Phong,https://tienphong.vn/robot-tri-nhan-tu-hao-viet-nam-post1322504.tpo,2021-03-29,4,1450
Ngạc nhiên khi nhân vật Disney biến thành người thật nhờ trí tuệ nhân tạo - Báo Tiền Phong,https://tienphong.vn/ngac-nhien-khi-nhan-vat-disney-bien-thanh-nguoi-that-nho-tri-tue-nhan-tao-post1303279.tpo,2021-01-06,2,478
Hai chàng trai 9X Việt giành giải quán quân cuộc thi AI uy tín nhất thế giới,https://tienphong.vn/hai-chang-trai-9x-viet-gianh-giai-quan-quan-cuoc-thi-ai-uy-tin-nhat-the-gioi-post1359692.tpo,2021-07-27,4,773
Hải quân Mỹ thành lập lực lượng đặc nhiệm không người lái tích hợp trí tuệ nhân tạo - Tiền Phong,https://tienphong.vn/hai-quan-my-thanh-lap-luc-luong-dac-nhiem-khong-nguoi-lai-tich-hop-tri-tue-nhan-tao-post1374643.tpo,2021-09-10,1,513
"Phần mềm dự đoán khuôn mặt đứa con tương lai bằng trí tuệ nhân tạo AI, bạn đã thử chưa?",https://hoahoctro.tienphong.vn/phan-mem-du-doan-khuon-mat-dua-con-tuong-lai-bang-tri-tue-nhan-tao-ai-ban-da-thu-chua-post1323007.tpo,2021-03-25,1,353
Đôi bạn thân sáng tạo thiết bị thông minh chỉ dẫn đường cho người khiếm thị - Tiền Phong,https://tienphong.vn/doi-ban-than-sang-tao-thiet-bi-thong-minh-chi-dan-duong-cho-nguoi-khiem-thi-post1383717.tpo,2021-10-12,4,1182
Tái tạo gương mặt Nữ hoàng Ai Cập đẹp nức tiếng nhờ trí tuệ nhân tạo - Tiền Phong,https://tienphong.vn/tai-tao-guong-mat-nu-hoang-ai-cap-dep-nuc-tieng-nho-tri-tue-nhan-tao-post1323040.tpo,2021-03-31,2,649
Tin cực vui: Sắp có mắt nhân tạo - Tiền Phong,https://tienphong.vn/tin-cuc-vui-sap-co-mat-nhan-tao-post1332139.tpo,2021-04-29,1,1006
Chàng trai Việt được 5 trường đại học Mỹ đón nhận kể về niềm đam mê công nghệ - Tiền Phong,https://tienphong.vn/chang-trai-viet-duoc-5-truong-dai-hoc-my-don-nhan-ke-ve-niem-dam-me-cong-nghe-post1366920.tpo,2021-08-19,1,2309
Phi công cấp độ 'Ace' của không quân Trung Quốc bị 'trí tuệ nhân tạo' bắn hạ - Tiền Phong,https://tienphong.vn/phi-cong-cap-do-ace-cua-khong-quan-trung-quoc-bi-tri-tue-nhan-tao-ban-ha-post1346467.tpo,2021-06-16,1,801
Cộng hòa Séc sẽ thắng Đan Mạch dựa vào… trí tuệ nhân tạo?,https://tienphong.vn/cong-hoa-sec-se-thang-dan-mach-dua-vao-tri-tue-nhan-tao-post1351747.tpo,2021-07-03,5,1554
Kỳ lạ: Lần đầu tiên người máy vẽ chân dung và mở triển lãm - Tiền Phong,https://tienphong.vn/ky-la-lan-dau-tien-nguoi-may-ve-chan-dung-va-mo-trien-lam-post1341506.tpo,2021-05-31,1,746
"Vinmec ứng dụng AI nuôi cấy phôi thụ tinh ống nghiệm, cơ hội cho gia đình hiếm muộn - Tiền Phong",https://tienphong.vn/vinmec-ung-dung-ai-nuoi-cay-phoi-thu-tinh-ong-nghiem-co-hoi-cho-gia-dinh-hiem-muon-post1236183.tpo,2020-04-29,3,1058
"Giám đốc MI6 nói Trung Quốc, Nga chạy đua làm chủ AI để thay đổi cục diện địa - chính trị - Báo Tiền Phong",https://tienphong.vn/giam-doc-mi6-noi-trung-quoc-nga-chay-dua-lam-chu-ai-de-thay-doi-cuc-dien-dia-chinh-tri-post1397054.tpo,2021-11-30,2,523
Vũ khí thông minh sẽ thay đổi sức mạnh chiến đấu của quân nhân Nga - Tiền Phong,https://tienphong.vn/vu-khi-thong-minh-se-thay-doi-suc-manh-chien-dau-cua-quan-nhan-nga-post1400767.tpo,2021-12-13,5,1274
Trường ĐH KHTN (ĐHQG TP. HCM) xét tuyển ngành AI và Cử nhân tài năng Máy tính và CNTT - Sinh viên Việt Nam,https://svvn.tienphong.vn/truong-dh-khtn-dhqg-tp-hcm-xet-tuyen-nganh-ai-va-cu-nhan-tai-nang-may-tinh-va-cntt-post1380366.tpo,2021-09-28,9,597
Sơn Tùng M-TP kiên trì luyện tiếng Anh cải thiện giao tiếp - Tiền Phong,https://tienphong.vn/son-tung-m-tp-kien-tri-luyen-tieng-anh-cai-thien-giao-tiep-post1268736.tpo,2020-08-24,0,373
Hệ thống Anh ngữ tích hợp 4.0 American Learning LAB (ALAB) vừa ra mắt tại Việt Nam - Tiền Phong,https://tienphong.vn/he-thong-anh-ngu-tich-hop-40-american-learning-lab-alab-vua-ra-mat-tai-viet-nam-post1254217.tpo,2020-07-06,0,223
"Táo quân 2021: Táo Kinh tế Quang Thắng rap cực chất, Lâm Vỹ Dạ soán ngôi Bắc Đẩu - Tiền Phong",https://tienphong.vn/tao-quan-2021-tao-kinh-te-quang-thang-rap-cuc-chat-lam-vy-da-soan-ngoi-bac-dau-post1312848.tpo,2021-02-11,2,1387
Không quân Mỹ biến F-16C cổ lỗ thành tiêm kích hiện đại,https://tienphong.vn/khong-quan-my-bien-f-16c-co-lo-thanh-tiem-kich-hien-dai-post1362949.tpo,2021-08-06,2,505
Bệnh viện Nhân dân 115 xác lập 3 kỷ lục châu Á - Báo Tiền Phong,https://tienphong.vn/benh-vien-nhan-dan-115-xac-lap-3-ky-luc-chau-a-post1243716.tpo,2020-05-28,1,648
Vinbrain giành giải thưởng quốc tế 'Công nghiệp ACM Sigai 2021' - Báo Tiền Phong,https://tienphong.vn/vinbrain-gianh-giai-thuong-quoc-te-cong-nghiep-acm-sigai-2021-post1351060.tpo,2021-07-01,7,891
"Mỹ trừng phạt Trung Quốc, Myanmar, Triều Tiên - Báo Tiền Phong",https://tienphong.vn/my-trung-phat-trung-quoc-myanmar-trieu-tien-post1400348.tpo,2021-12-11,2,603
