Title,URL,Publish Date,Mentioned Times,Word Count
EVNHCMC được trao giải thưởng Doanh nghiệp sáng tạo ASEAN năm 2022,https://tienphong.vn/evnhcmc-duoc-trao-giai-thuong-doanh-nghiep-sang-tao-asean-nam-2022-post1498280.tpo,2022-12-26,1,1053
Tiếng Anh và công nghệ - mắt xích không thể tách rời trên hành trình trở thành công dân toàn cầu,https://tienphong.vn/tieng-anh-va-cong-nghe-mat-xich-khong-the-tach-roi-tren-hanh-trinh-tro-thanh-cong-dan-toan-cau-post1496028.tpo,2022-12-17,1,941
iShinhan ghi điểm với người tiêu dùng Việt khi tích hợp các tính năng vượt trội ,https://tienphong.vn/ishinhan-ghi-diem-voi-nguoi-tieu-dung-viet-khi-tich-hop-cac-tinh-nang-vuot-troi-post1494472.tpo,2022-12-12,1,774
Trải nghiệm công nghệ VinaPhone 5G với các thiết bị tiên tiến nhất tại Techfest Việt Nam 2022,https://tienphong.vn/trai-nghiem-cong-nghe-vinaphone-5g-voi-cac-thiet-bi-tien-tien-nhat-tai-techfest-viet-nam-2022-post1491815.tpo,2022-12-03,2,1176
Vì sao bất động sản thấp tầng Vinhomes luôn có thanh khoản tốt,https://tienphong.vn/vi-sao-bat-dong-san-thap-tang-vinhomes-luon-co-thanh-khoan-tot-post1489165.tpo,2022-11-24,1,1080
Vietcombank tiên phong trong kỷ nguyên số ,https://tienphong.vn/vietcombank-tien-phong-trong-ky-nguyen-so-post1477600.tpo,2022-10-13,1,1683
Techcombank và cuộc 'biến hình' số hóa ,https://tienphong.vn/techcombank-va-cuoc-bien-hinh-so-hoa-post1477598.tpo,2022-10-13,1,2745
Vững bước tiên phong trên hành trình chuyển đổi số,https://tienphong.vn/vung-buoc-tien-phong-tren-hanh-trinh-chuyen-doi-so-post1476967.tpo,2022-10-11,1,1520
Cùng giới trẻ bùng nổ cảm xúc tại đại nhạc hội 'Bật chất Gen Digi' của MSB,https://tienphong.vn/cung-gioi-tre-bung-no-cam-xuc-tai-dai-nhac-hoi-bat-chat-gen-digi-cua-msb-post1476965.tpo,2022-10-11,1,509
"Thiết bị bàn giao đẳng cấp, khẳng định vị thế chủ nhân của Masteri West Heights ",https://tienphong.vn/thiet-bi-ban-giao-dang-cap-khang-dinh-vi-the-chu-nhan-cua-masteri-west-heights-post1470794.tpo,2022-10-05,1,1085
Dấu ấn kiêu hãnh The Grand Manhattan giữa trung tâm quận nhất,https://tienphong.vn/dau-an-kieu-hanh-the-grand-manhattan-giua-trung-tam-quan-nhat-post1473633.tpo,2022-09-29,2,1002
Hệ thống tiện ích đặc quyền nâng tầm giá trị khu đô thị ,https://tienphong.vn/he-thong-tien-ich-dac-quyen-nang-tam-gia-tri-khu-do-thi-post1470769.tpo,2022-09-19,1,1016
"MSB ‘trình làng’ thẻ mDigi, mang đậm phong cách thế hệ số",https://tienphong.vn/msb-trinh-lang-the-mdigi-mang-dam-phong-cach-the-he-so-post1468905.tpo,2022-09-12,1,808
NashTech xây dựng “ngôi nhà” của các nhân tài IT dựa trên giá trị cốt lõi ,https://tienphong.vn/nashtech-xay-dung-ngoi-nha-cua-cac-nhan-tai-it-dua-tren-gia-tri-cot-loi-post1466142.tpo,2022-08-31,1,879
