Title,URL,Publish Date,Mentioned Times,Word Count
Năm thông điệp của Thủ tướng tại Hội nghị Thượng đỉnh Kinh doanh ASEAN- EU,https://tienphong.vn/nam-thong-diep-cua-thu-tuong-tai-hoi-nghi-thuong-dinh-kinh-doanh-asean-eu-post1494974.tpo,2022-12-13,1,1665
Đề xuất giá khởi điểm 200 triệu đồng với nhóm biển số đẹp bắt buộc đấu giá,https://tienphong.vn/de-xuat-gia-khoi-diem-200-trieu-dong-voi-nhom-bien-so-dep-bat-buoc-dau-gia-post1484399.tpo,2022-11-07,1,1378
"Phát huy giá trị dân ca, dân vũ, dân nhạc của các dân tộc thiểu số",https://tienphong.vn/phat-huy-gia-tri-dan-ca-dan-vu-dan-nhac-cua-cac-dan-toc-thieu-so-post1460208.tpo,2022-08-09,1,2206
ĐH Quốc gia Hà Nội đứng số 1 Việt Nam và top 800 thế giới trong bảng xếp hạng Webometrics,https://tienphong.vn/dh-quoc-gia-ha-noi-dung-so-1-viet-nam-va-top-800-the-gioi-trong-bang-xep-hang-webometrics-post1459649.tpo,2022-08-07,1,430
Thủ tướng giao 10 nhiệm vụ cho Bộ Tài nguyên và Môi trường,https://tienphong.vn/thu-tuong-giao-10-nhiem-vu-cho-bo-tai-nguyen-va-moi-truong-post1459202.tpo,2022-08-05,1,1528
"Quý I/2022, tổng doanh thu hợp nhất Bảo Việt đạt 13.158 tỷ đồng",https://tienphong.vn/quy-i2022-tong-doanh-thu-hop-nhat-bao-viet-dat-13158-ty-dong-post1436010.tpo,2022-05-05,1,1545
Tập đoàn Giáo dục Đại Trường Phát tiếp tục được phê duyệt 8 tựa sách giáo khoa ,https://tienphong.vn/tap-doan-giao-duc-dai-truong-phat-tiep-tuc-duoc-phe-duyet-8-tua-sach-giao-khoa-post1424675.tpo,2022-03-21,2,938
Việt Nam có một cơ sở giáo dục đại học lọt top 1.000 của Webometrics,https://tienphong.vn/viet-nam-co-mot-co-so-giao-duc-dai-hoc-lot-top-1000-cua-webometrics-post1414148.tpo,2022-02-05,1,252
Đại học Kinh tế Quốc dân và những dự định trước thềm năm mới,https://tienphong.vn/dai-hoc-kinh-te-quoc-dan-va-nhung-du-dinh-truoc-them-nam-moi-post1407509.tpo,2022-02-01,1,1655
Trung tâm Quản lý Tài sản Số (TSS) – Cơ hội cho doanh nghiệp Việt Nam số hóa tài sản,https://tienphong.vn/trung-tam-quan-ly-tai-san-so-tss-co-hoi-cho-doanh-nghiep-viet-nam-so-hoa-tai-san-post1406049.tpo,2021-12-31,1,974
Giáo dục thông minh đến đâu vẫn cần những người thầy tâm tuệ,https://tienphong.vn/giao-duc-thong-minh-den-dau-van-can-nhung-nguoi-thay-tam-tue-post1394658.tpo,2021-11-20,1,1209
Hai dự án của trường Đại học tại Việt Nam nhận tài trợ quốc tế,https://tienphong.vn/hai-du-an-cua-truong-dai-hoc-tai-viet-nam-nhan-tai-tro-quoc-te-post1390601.tpo,2021-11-05,1,523
Học sinh lớp 1 không nên học trực tuyến quá 2 tiếng mỗi ngày ,https://tienphong.vn/hoc-sinh-lop-1-khong-nen-hoc-truc-tuyen-qua-2-tieng-moi-ngay-post1375569.tpo,2021-09-13,1,1108
ĐH Quốc gia Hà Nội lọt top 1.000 cơ sở đào tạo xuất sắc,https://tienphong.vn/dh-quoc-gia-ha-noi-lot-top-1000-co-so-dao-tao-xuat-sac-post1359848.tpo,2021-07-27,1,349
Việt Nam có trường trong top 1.000 cơ sở giáo dục đại học xuất sắc,https://tienphong.vn/viet-nam-co-truong-trong-top-1000-co-so-giao-duc-dai-hoc-xuat-sac-post1359838.tpo,2021-07-27,1,723
Trường đại học Việt Nam lọt Top 40 tại bảng xếp hạng Webometrics,https://tienphong.vn/truong-dai-hoc-viet-nam-lot-top-40-tai-bang-xep-hang-webometrics-post1317081.tpo,2021-03-03,1,747
