Title,URL,Publish Date,Mentioned Times,Word Count
Thủ tướng giao Bộ Công an chủ trì xây dựng Trung tâm Dữ liệu quốc gia,https://tienphong.vn/thu-tuong-giao-bo-cong-an-chu-tri-xay-dung-trung-tam-du-lieu-quoc-gia-post1498150.tpo,2022-12-25,1,711
Thủ tướng chủ trì Hội nghị sơ kết một năm triển khai Đề án 06,https://tienphong.vn/thu-tuong-chu-tri-hoi-nghi-so-ket-mot-nam-trien-khai-de-an-06-post1498120.tpo,2022-12-25,1,1022
"Hải Phòng đẩy mạnh chuyển đổi kinh tế số, xã hội số",https://tienphong.vn/hai-phong-day-manh-chuyen-doi-kinh-te-so-xa-hoi-so-post1497134.tpo,2022-12-21,2,742
MobiFone tham dự Diễn đàn quốc gia về Phát triển doanh nghiệp công nghệ số,https://tienphong.vn/mobifone-tham-du-dien-dan-quoc-gia-ve-phat-trien-doanh-nghiep-cong-nghe-so-post1496816.tpo,2022-12-20,1,977
"Thủ tướng: Bảo vệ an ninh, lợi ích quốc gia từ sớm, từ xa",https://tienphong.vn/thu-tuong-bao-ve-an-ninh-loi-ich-quoc-gia-tu-som-tu-xa-post1496527.tpo,2022-12-19,1,1153
"68 km đường bờ biển, một vùng của Bỉ sản xuất 2,3 tỷ W điện gió",https://tienphong.vn/68-km-duong-bo-bien-mot-vung-cua-bi-san-xuat-23-ty-w-dien-gio-post1495662.tpo,2022-12-16,0,1189
EVN có 2 sản phẩm được công nhận giải thưởng công nghệ số 'Make in Viet Nam' ,https://tienphong.vn/evn-co-2-san-pham-duoc-cong-nhan-giai-thuong-cong-nghe-so-make-in-viet-nam-post1495243.tpo,2022-12-14,1,770
Gỡ điểm nghẽn để Nghệ An thực sự trở thành trung tâm vùng Bắc Trung Bộ ,https://tienphong.vn/go-diem-nghen-de-nghe-an-thuc-su-tro-thanh-trung-tam-vung-bac-trung-bo-post1494822.tpo,2022-12-13,1,1170
Đoàn đại biểu Đảng ta kết thúc tốt đẹp chuyến thăm và dự Đại hội Đảng Cách mạng Tanzania,https://tienphong.vn/doan-dai-bieu-dang-ta-ket-thuc-tot-dep-chuyen-tham-va-du-dai-hoi-dang-cach-mang-tanzania-post1494792.tpo,2022-12-13,1,1366
Người nổi tiếng gửi lời tâm huyết tới đại hội,https://tienphong.vn/nguoi-noi-tieng-gui-loi-tam-huyet-toi-dai-hoi-post1494244.tpo,2022-12-13,0,1548
Câu chuyện một đứa trẻ được sinh ra tại Hà Lan và đăng ký 'công dân số',https://tienphong.vn/cau-chuyen-mot-dua-tre-duoc-sinh-ra-tai-ha-lan-va-dang-ky-cong-dan-so-post1494672.tpo,2022-12-13,1,913
Tăng cường hợp tác Việt Nam-Tanzania trong lĩnh vực thông tin và truyền thông,https://tienphong.vn/tang-cuong-hop-tac-viet-nam-tanzania-trong-linh-vuc-thong-tin-va-truyen-thong-post1494026.tpo,2022-12-10,1,612
MISA EMIS đạt Top 10 Sản phẩm số xuất sắc cho Xã hội số tại Make in Viet Nam 2022,https://tienphong.vn/misa-emis-dat-top-10-san-pham-so-xuat-sac-cho-xa-hoi-so-tai-make-in-viet-nam-2022-post1493910.tpo,2022-12-10,5,904
04 giải pháp số của VNPT được vinh danh tại Giải thưởng Make in Viet Nam năm 2022,https://tienphong.vn/04-giai-phap-so-cua-vnpt-duoc-vinh-danh-tai-giai-thuong-make-in-viet-nam-nam-2022-post1493397.tpo,2022-12-08,1,1497
Hai sản phẩm của EVNCPC giật giải 'Sản phẩm công nghệ số Make in Việt Nam 2022',https://tienphong.vn/hai-san-pham-cua-evncpc-giat-giai-san-pham-cong-nghe-so-make-in-viet-nam-2022-post1493398.tpo,2022-12-08,1,510
Hội thảo 'Xu hướng giám sát an ninh trong chuyển đổi số' lần đầu tiên được tổ chức tại Hà Nội,https://tienphong.vn/hoi-thao-xu-huong-giam-sat-an-ninh-trong-chuyen-doi-so-lan-dau-tien-duoc-to-chuc-tai-ha-noi-post1493360.tpo,2022-12-08,1,747
Gần 1.400 công ty công nghệ số Việt Nam mạnh mẽ vươn ra thế giới,https://tienphong.vn/gan-1400-cong-ty-cong-nghe-so-viet-nam-manh-me-vuon-ra-the-gioi-post1493321.tpo,2022-12-08,1,1172
