Title,URL,Publish Date,Mentioned Times,Word Count
"FPT khai phóng tiềm năng dữ liệu, phục vụ các tỉnh thành chuyển đổi số",/fpt-khai-phong-tiem-nang-du-lieu-phuc-vu-cac-tinh-thanh-chuyen-doi-so-20230922191347641.htm,2023-09-22,10,1700
Mức độ chuyển đổi số quốc gia Việt Nam hiện nay ra sao?,/muc-do-chuyen-doi-so-quoc-gia-viet-nam-hien-nay-ra-sao-20230922071704585.htm,2023-09-22,4,218
Công bố top 10 doanh nghiệp công nghệ số Việt Nam 2023,/cong-bo-top-10-doanh-nghiep-cong-nghe-so-viet-nam-2023-20230922153131294.htm,2023-09-22,15,1014
Sân chơi chuyển đổi số công nghệ cao chờ tranh tài,/san-choi-chuyen-doi-so-cong-nghe-cao-cho-tranh-tai-20230922122811161.htm,2023-09-22,4,885
"Cảng biển Việt Nam chậm chuyển đổi số, mới bắt đầu chuyển đổi xanh",/cang-bien-viet-nam-cham-chuyen-doi-so-moi-bat-dau-chuyen-doi-xanh-20230921165416758.htm,2023-09-21,3,1223
"Đột phá trong chuyển đổi số, J&T Express mang về giải thưởng công nghệ quốc tế",/dot-pha-trong-chuyen-doi-so-jt-express-mang-ve-giai-thuong-cong-nghe-quoc-te-20230921091840864.htm,2023-09-21,1,1096
Bốn bài báo khoa học xuất sắc nhận bằng khen của Hội Sinh viên Việt Nam,/bon-bai-bao-khoa-hoc-xuat-sac-nhan-bang-khen-cua-hoi-sinh-vien-viet-nam-20230920155808841.htm,2023-09-20,4,1171
Giải mã chiến lược Chuyển đổi số hiệu quả dành cho doanh nghiệp,/giai-ma-chien-luoc-chuyen-doi-so-hieu-qua-danh-cho-doanh-nghiep-20230919161903988.htm,2023-09-20,9,1288
Những chuyển đổi kiến tạo di sản ngân hàng thế giới của 'người tiên phong',/nhung-chuyen-doi-kien-tao-di-san-ngan-hang-the-gioi-cua-nguoi-tien-phong-20230918144526369.htm,2023-09-18,2,2014
Bản lĩnh của 'người tiên phong' số hóa ngành ngân hàng,/ban-linh-cua-nguoi-tien-phong-so-hoa-nganh-ngan-hang-20230918133110347.htm,2023-09-18,7,2046
Tiềm năng to lớn từ kinh tế số để quảng bá sản phẩm OCOP,/tiem-nang-to-lon-tu-kinh-te-so-de-quang-ba-san-pham-ocop-20230916174957051.htm,2023-09-16,10,1198
