Title,URL,Publish Date,Mentioned Times,Word Count
Trường đại học Hàng hải Việt Nam hợp tác phát triển nhân lực dầu khí,/truong-dai-hoc-hang-hai-viet-nam-hop-tac-phat-trien-nhan-luc-dau-khi-20230906202826017.htm,2023-06-09,0,931
Người Nga chiếm lĩnh thị trường bất động sản Dubai 'như cơn bão',/nguoi-nga-chiem-linh-thi-truong-bat-dong-san-dubai-nhu-con-bao-20230903125438952.htm,2023-03-09,0,885
Chỉ số kinh tế vĩ mô của Việt Nam trong 8 tháng đầu năm cho thấy điều gì?,/chi-so-kinh-te-vi-mo-cua-viet-nam-trong-8-thang-dau-nam-cho-thay-dieu-gi-20230830192031882.htm,2023-08-30,0,209
"Ngân hàng nội tăng phí tin nhắn báo biến động số dư, nhiều ngân hàng ngoại miễn phí",/ngan-hang-noi-tang-phi-tin-nhan-bao-bien-dong-so-du-nhieu-ngan-hang-ngoai-mien-phi-2023082912410341.htm,2023-08-29,0,1172
"MG5 số sàn lộ diện, sắp ra mắt với giá rẻ, hợp chạy dịch vụ",/mg5-so-san-lo-dien-sap-ra-mat-voi-gia-re-hop-chay-dich-vu-20230824170629685.htm,2023-08-25,0,976
An Anh Amazing - Sự chuyên nghiệp trong từng khâu nhỏ nhất,/an-anh-amazing-su-chuyen-nghiep-trong-tung-khau-nho-nhat-20230824112850309.htm,2023-08-24,0,823
Ngân hàng số Liobank chính thức đạt mốc 100.000 người dùng,/ngan-hang-so-liobank-chinh-thuc-dat-moc-100-000-nguoi-dung-20230824090337822.htm,2023-08-24,0,1062
Chuyển đổi số tại EVNSPC: Tăng hiệu quả kinh doanh và chất lượng dịch vụ,/chuyen-doi-so-tai-evnspc-tang-hieu-qua-kinh-doanh-va-chat-luong-dich-vu-20230818144648905.htm,2023-08-18,0,1552
Châu Âu muốn 'cai' điện thoại cho trẻ,/chau-au-muon-cai-dien-thoai-cho-tre-20230818000649449.htm,2023-08-18,0,1442
Điểm tin 8h: Người mua bán xe khổ vì nghẽn mạng; Kéo hàng tấn cá trong giếng nước,/diem-tin-8h-nguoi-mua-ban-xe-kho-vi-nghen-mang-keo-hang-tan-ca-trong-gieng-nuoc-2023081622143203.htm,2023-08-17,0,534
Ngày đầu cấp biển số xe theo mã định danh: Mướt mồ hôi vì nghẽn mạng,/ngay-dau-cap-bien-so-xe-theo-ma-dinh-danh-muot-mo-hoi-vi-nghen-mang-20230816075603859.htm,2023-08-16,0,1812
"Tin tức sáng 15-8: Bắt đầu áp dụng giá dịch vụ y tế theo yêu cầu, giá giường tối đa 4 triệu/ngày",/tin-tuc-sang-15-8-bat-dau-ap-dung-gia-dich-vu-y-te-theo-yeu-cau-gia-giuong-toi-da-4-trieu-ngay-20230814224535923.htm,2023-08-15,0,2009
Các ngân hàng Hàn Quốc mở rộng dịch vụ hỗ trợ lao động nước ngoài,/cac-ngan-hang-han-quoc-mo-rong-dich-vu-ho-tro-lao-dong-nuoc-ngoai-2023080814405238.htm,2023-09-08,0,1171
Vì sao đề xuất ‘cắt’ Internet đối với livestream vi phạm pháp luật?,/vi-sao-de-xuat-cat-internet-doi-voi-livestream-vi-pham-phap-luat-20230808183518591.htm,2023-08-08,0,1230
Phú Mỹ Hưng mở bán shop trên phố tài chính dịch vụ 'tỉ đô',/phu-my-hung-mo-ban-shop-tren-pho-tai-chinh-dich-vu-ti-do-20230802135547303.htm,2023-02-08,0,1769
Mẹo phân loại các kiểu ứng viên bạn gặp,/meo-phan-loai-cac-kieu-ung-vien-ban-gap-20230706172314533.htm,2023-07-27,0,1603
Chuyển đổi số Quảng Ngãi đảo chiều ấn tượng,/chuyen-doi-so-quang-ngai-dao-chieu-an-tuong-20230713145643729.htm,2023-07-13,0,1127
TP.HCM đã có 600 dịch vụ công toàn trình và một phần,/tp-hcm-da-co-600-dich-vu-cong-toan-trinh-va-mot-phan-2023071218075545.htm,2023-12-07,0,924
"Nghiên cứu, xây dựng đề án cơ cấu tổ chức Chính phủ khóa mới",/nghien-cuu-xay-dung-de-an-co-cau-to-chuc-chinh-phu-khoa-moi-20230710190332923.htm,2023-10-07,0,1061
Chuyển đổi số không khó khăn vì công nghệ,/chuyen-doi-so-khong-kho-khan-vi-cong-nghe-20230706120545293.htm,2023-06-07,0,1228
Bạc Liêu tìm cách khắc phục 'đội sổ' chỉ số PCI,/bac-lieu-tim-cach-khac-phuc-doi-so-chi-so-pci-20230628104314822.htm,2023-06-28,0,1146
Sẽ vinh danh Top 10 doanh nghiệp công nghệ số xuất sắc Việt Nam 2023,/se-vinh-danh-top-10-doanh-nghiep-cong-nghe-so-xuat-sac-viet-nam-2023-20230627190238198.htm,2023-06-27,0,738
"Để an toàn, bảo mật cho khách hàng, Vietcombank điều chỉnh phí dịch vụ thẻ",/de-an-toan-bao-mat-cho-khach-hang-vietcombank-dieu-chinh-phi-dich-vu-the-20230626161317321.htm,2023-06-26,0,1521
Tin tức sáng 24-6: 'Việc nhẹ lương cao' chuyển dịch từ Zalo qua Telegram,/tin-tuc-sang-24-6-viec-nhe-luong-cao-chuyen-dich-tu-zalo-qua-telegram-20230623211756121.htm,2023-06-24,0,1880
Một tuyến đường sắt 'bùng nổ',/mot-tuyen-duong-sat-bung-no-20230618224952567.htm,2023-06-19,0,1805
Bảo hiểm xã hội thí điểm liên thông điện tử giải quyết nhiều thủ tục hành chính,/bao-hiem-xa-hoi-thi-diem-lien-thong-dien-tu-giai-quyet-nhieu-thu-tuc-hanh-chinh-20230615111729319.htm,2023-06-15,0,1171
Định vị bất động sản 'truyền đời' của giới nhà giàu,/dinh-vi-bat-dong-san-truyen-doi-cua-gioi-nha-giau-20230614073330166.htm,2023-06-14,0,1714
"Hãng xe làm kiểm định, khi nào?",/hang-xe-lam-kiem-dinh-khi-nao-20230609092524706.htm,2023-09-06,0,1568
Mở đường cho các hãng xe lập trung tâm đăng kiểm,/mo-duong-cho-cac-hang-xe-lap-trung-tam-dang-kiem-20230608103543841.htm,2023-08-06,0,1386
Nhà mạng di động đua gói cước,/nha-mang-di-dong-dua-goi-cuoc-2023060423040538.htm,2023-05-06,1,1352
"Bức xúc dịch vụ công y tế ở TP.HCM, gọi 033.7592.452",/buc-xuc-dich-vu-cong-y-te-o-tp-hcm-goi-033-7592-452-20230604083057455.htm,2023-04-06,0,770
Việt Nam có chợ phần mềm mới,/viet-nam-co-cho-phan-mem-moi-20230530202058257.htm,2023-05-30,1,906
Bảo hiểm nhân thọ không ngừng nâng cao trải nghiệm khách hàng,/bao-hiem-nhan-tho-khong-ngung-nang-cao-trai-nghiem-khach-hang-2023052709591817.htm,2023-05-29,0,1145
Thủ tướng yêu cầu lựa chọn một số dịch vụ công để người dân thực hiện qua app,/thu-tuong-yeu-cau-lua-chon-mot-so-dich-vu-cong-de-nguoi-dan-thuc-hien-qua-app-20230524092928072.htm,2023-05-24,0,1185
VietinBank: 97% giao dịch khách hàng thực hiện trên kênh số,/vietinbank-97-giao-dich-khach-hang-thuc-hien-tren-kenh-so-20230519182241288.htm,2023-05-19,0,1496
Tin tức sáng 19-5: Đề xuất ngừng nhà máy đạm Cà Mau và Phú Mỹ nhường khí cho điện,/tin-tuc-sang-19-5-de-xuat-ngung-nha-may-dam-ca-mau-va-phu-my-nhuong-khi-cho-dien-20230518152521363.htm,2023-05-19,0,1403
Lựa chọn cho du lịch Phú Quốc,/lua-chon-cho-du-lich-phu-quoc-2023051608435231.htm,2023-05-16,0,1071
"Nhiều nơi thiếu vắc xin tiêm chủng mở rộng, lo đứt nguồn cung",/nhieu-noi-thieu-vac-xin-tiem-chung-mo-rong-lo-dut-nguon-cung-20230514230934803.htm,2023-05-15,0,1735
VietinBank tặng tiền cho doanh nghiệp sử dụng dịch vụ phát hành bảo lãnh,/vietinbank-tang-tien-cho-doanh-nghiep-su-dung-dich-vu-phat-hanh-bao-lanh-20230511183512175.htm,2023-11-05,0,871
VietinBank ra mắt hotline mới phục vụ khách hàng ưu tiên và khách hàng doanh nghiệp,/vietinbank-ra-mat-hotline-moi-phuc-vu-khach-hang-uu-tien-va-khach-hang-doanh-nghiep-20230510180639238.htm,2023-10-05,0,787
Định danh tài khoản mạng xã hội: Cần nhưng không dễ,/dinh-danh-tai-khoan-mang-xa-hoi-can-nhung-khong-de-20230509230136576.htm,2023-10-05,0,2095
EVNSPC bứt tốc chuyển đổi số,/evnspc-but-toc-chuyen-doi-so-20230427145431063.htm,2023-01-05,0,1721
Én Vàng ra mắt taxi điện đầu tiên tại Hải Phòng,/en-vang-ra-mat-taxi-dien-dau-tien-tai-hai-phong-2023042821504365.htm,2023-04-28,0,1154
Thư SEA Games 32: Trông chờ du khách Việt,/thu-sea-games-32-trong-cho-du-khach-viet-20230427092945305.htm,2023-04-27,0,1182
MobiFone với chiến lược bứt phá trở thành doanh nghiệp số hàng đầu,/mobifone-voi-chien-luoc-but-pha-tro-thanh-doanh-nghiep-so-hang-dau-20230420161615575.htm,2023-04-21,8,1547
"Yêu cầu nhà mạng rà soát việc hợp tác với Netflix, Apple, Amazon...",/yeu-cau-nha-mang-ra-soat-viec-hop-tac-voi-netflix-apple-amazon-20230419071643563.htm,2023-04-19,0,884
Thêm 9 bang ở Mỹ kiện Google vì độc quyền quảng cáo số,/them-9-bang-o-my-kien-google-vi-doc-quyen-quang-cao-so-20230418113950245.htm,2023-04-18,0,714
Thái Lan áp dụng nhận dạng khuôn mặt trong kiểm soát dịch bệnh,/thai-lan-ap-dung-nhan-dang-khuon-mat-trong-kiem-soat-dich-benh-20230417155551203.htm,2023-04-17,0,720
Các hãng xe có thể tham gia kiểm định và phân cấp cho địa phương nhiều hơn,/cac-hang-xe-co-the-tham-gia-kiem-dinh-va-phan-cap-cho-dia-phuong-nhieu-hon-20230412221629339.htm,2023-04-13,0,1903
"Sau ngày 15-5, thuê bao chưa chuẩn hóa thông tin sẽ bị thu hồi số",/sau-ngay-15-5-thue-bao-chua-chuan-hoa-thong-tin-se-bi-thu-hoi-so-20230406182811.htm,2023-06-04,0,880
Bùng nổ căn hộ cho thuê sang trọng ở New York,/bung-no-can-ho-cho-thue-sang-trong-o-new-york-20230405162054547.htm,2023-06-04,0,789
Phạt 2 cơ sở dịch vụ du lịch ở Kiên Giang 120 triệu đồng,/phat-2-co-so-dich-vu-du-lich-o-kien-giang-120-trieu-dong-20230405130724784.htm,2023-05-04,0,640
Xe đạp công cộng ở TP.HCM bị mất cắp,/xe-dap-cong-cong-o-tphcm-bi-mat-cap-20230329143408432.htm,2023-03-29,0,636
Số hóa bản đồ du lịch Việt Nam,/so-hoa-ban-do-du-lich-viet-nam-20230326224128044.htm,2023-03-27,0,823
Tạo bình đẳng cho người dân khi tiếp cận dịch vụ chuyển đổi số,/tao-binh-dang-cho-nguoi-dan-khi-tiep-can-dich-vu-chuyen-doi-so-20230325104405814.htm,2023-03-25,0,1231
"Dự kiến tăng trần giá vé máy bay thêm 3,75%",/du-kien-tang-tran-gia-ve-may-bay-them-3-75-20230324154854467.htm,2023-03-24,0,1339
"Truyền tải thông tin tới người dân qua màn hình, xu hướng trong số hóa dịch vụ công",/truyen-tai-thong-tin-toi-nguoi-dan-qua-man-hinh-xu-huong-trong-so-hoa-dich-vu-cong-20230323162333957.htm,2023-03-24,0,1240
Ngang nhiên rao bán đất giữa rừng tự nhiên Măng Đen,/ngang-nhien-rao-ban-dat-giua-rung-tu-nhien-mang-den-20230323083210402.htm,2023-03-23,0,950
Miễn phí dịch vụ chữ ký số VNPT SmartCA khi giao dịch trên cổng dịch vụ công,/mien-phi-dich-vu-chu-ky-so-vnpt-smartca-khi-giao-dich-tren-cong-dich-vu-cong-20230322160737352.htm,2023-03-22,1,1058
Đủ kiểu ngăn thuê bao chuyển mạng,/du-kieu-ngan-thue-bao-chuyen-mang-20230321080437489.htm,2023-03-21,0,1659
Tuổi trẻ tình nguyện hỗ trợ người dân làm dịch vụ công trực tuyến,/tuoi-tre-tinh-nguyen-ho-tro-nguoi-dan-lam-dich-vu-cong-truc-tuyen-20230318125614006.htm,2023-03-18,0,1010
Xe điện khiến độ hài lòng dịch vụ khách hàng lần đầu tụt giảm,/xe-dien-khien-do-hai-long-dich-vu-khach-hang-lan-dau-tut-giam-20230310104019104.htm,2023-03-14,0,760
"Người dân thắt chặt chi tiêu, bán lẻ suy giảm",/nguoi-dan-that-chat-chi-tieu-ban-le-suy-giam-20230301111247388.htm,2023-01-03,0,272
Ngành điện Cần Thơ nâng cao tiện ích cho người dân bằng việc số hóa lĩnh vực dịch vụ khách hàng,/nganh-dien-can-tho-nang-cao-tien-ich-cho-nguoi-dan-bang-viec-so-hoa-linh-vuc-dich-vu-khach-hang-20230228162735525.htm,2023-01-03,0,499
TP.HCM khởi động Tháng thanh niên 2023,/tp-hcm-khoi-dong-thang-thanh-nien-2023-2023022612272543.htm,2023-02-26,0,1246
Công ty Điện lực Hậu Giang tiếp tục đảm bảo cung cấp 100% dịch vụ điện trực tuyến trong năm 2023,/cong-ty-dien-luc-hau-giang-tiep-tuc-dam-bao-cung-cap-100-dich-vu-dien-truc-tuyen-trong-nam-2023-20230222140108336.htm,2023-02-22,0,474
Shopee dự đoán 3 xu hướng tiêu dùng nổi bật tại Việt Nam năm 2023,/shopee-du-doan-3-xu-huong-tieu-dung-noi-bat-tai-viet-nam-nam-2023-20230214154418874.htm,2023-02-15,4,1395
Người dùng Việt dành hơn 37 triệu giờ mua hàng qua livestream trên một nền tảng thương mại điện tử,/nguoi-dung-viet-danh-hon-37-trieu-gio-mua-hang-qua-livestream-tren-mot-nen-tang-thuong-mai-dien-tu-20230214130759287.htm,2023-02-14,3,889
"'Trả thù' ngày Valentine: Đặt tên người yêu cũ cho gián, dán tên lên thùng rác",/tra-thu-ngay-valentine-dat-ten-nguoi-yeu-cu-cho-gian-dan-ten-len-thung-rac-20230214112546664.htm,2023-02-14,0,1003
Dân Đà Nẵng nhàn nhờ chuyển đổi số,/dan-da-nang-nhan-nho-chuyen-doi-so-20230213074817634.htm,2023-02-13,0,1981
Ngành điện Hậu Giang hoàn thành chương trình Tháng tri ân với nhiều hoạt động hiệu quả,/nganh-dien-hau-giang-hoan-thanh-chuong-trinh-thang-tri-an-voi-nhieu-hoat-dong-hieu-qua-20230207135352313.htm,2023-07-02,0,508
Bộ Chính trị: Đưa Việt Nam vào tốp đầu châu Á về công nghệ sinh học,/bo-chinh-tri-dua-viet-nam-vao-top-dau-chau-a-ve-cong-nghe-sinh-hoc-20230206175035667.htm,2023-06-02,0,1302
Giao hàng ở miền núi bằng UAV ở Nhật Bản,/giao-hang-o-mien-nui-bang-uav-o-nhat-ban-2023013114450182.htm,2023-01-31,0,631
"Nhiều nơi bắt đầu nghỉ Tết, tạm ngưng buôn bán và cung cấp dịch vụ",/nhieu-noi-bat-dau-nghi-tet-tam-ngung-buon-ban-va-cung-cap-dich-vu-20230119091205036.htm,2023-01-19,0,986
Thông báo đấu giá tài sản,/thong-bao-dau-gia-tai-san-20230117172305796.htm,2023-01-18,0,432
TP.HCM ban hành bộ chỉ số đánh giá chuyển đổi số,/tp-hcm-ban-hanh-bo-chi-so-danh-gia-chuyen-doi-so-20230117213133462.htm,2023-01-17,0,964
Ngồi nhà có thể làm toàn bộ dịch vụ công ở Đà Nẵng,/ngoi-nha-co-the-lam-toan-bo-dich-vu-cong-o-da-nang-20230113160330148.htm,2023-01-13,0,724
Mở tài khoản số đẹp đón lộc đầu xuân tại VietinBank,/mo-tai-khoan-so-dep-don-loc-dau-xuan-tai-vietinbank-20230109180313784.htm,2023-09-01,0,614
Biển quảng cáo ‘trung tâm dịch vụ nam y’ ở 122 Phú Diễn được gỡ bỏ,/bien-quang-cao-trung-tam-dich-vu-nam-y-o-122-phu-dien-duoc-go-bo-20230107094624146.htm,2023-07-01,0,851
BIDV ra mắt ngân hàng số dành cho trẻ em đầu tiên tại Việt Nam,/bidv-ra-mat-ngan-hang-so-danh-cho-tre-em-dau-tien-tai-viet-nam-20230106190122283.htm,2023-06-01,0,982
Ghi nhận ngày đầu thực hiện dịch vụ công trực tuyến sau khi 'khai tử' sổ hộ khẩu giấy,/ghi-nhan-ngay-d-thuc-hien-dich-vu-cong-truc-tuyen-sau-khi-khai-tu-so-ho-khau-giay-20230103180942872.htm,2023-03-01,0,1298
