Title,URL,Publish Date,Mentioned Times,Word Count
Từ vụ Ý Nhi: Công chúng hãy trả hoa hậu về đúng vị trí,/tu-vu-y-nhi-cong-chung-hay-tra-hoa-hau-ve-dung-vi-tri-20230806185935918.htm,2023-06-08,0,1517
Chơi xổ số vui theo nhu cầu,/choi-xo-so-vui-theo-nhu-cau-20230801135945893.htm,2023-01-08,0,1345
"Vingroup đề nghị tăng vốn, tăng diện tích đất xây nhà tại Vinpearl Golf Hải Phòng",/vingroup-de-nghi-tang-von-tang-dien-tich-dat-xay-nha-tai-vinpearl-golf-hai-phong-20230716172933591.htm,2023-07-16,0,1054
Tin tức giải trí 10-7: Đôi 'lươn chúa' gây ức chế trong 'Cuộc đời vẫn đẹp sao',/tin-tuc-giai-tri-10-7-doi-luon-chua-gay-uc-che-trong-cuoc-doi-van-dep-sao-20230710155256043.htm,2023-10-07,0,1360
Tin tức giải trí ngày 29-6: Ban tổ chức đêm nhạc BLACKPINK cảnh báo lừa đảo,/tin-tuc-giai-tri-ngay-29-6-ban-to-chuc-dem-nhac-blackpink-canh-bao-lua-dao-20230629165425058.htm,2023-06-29,0,1331
Lễ hội Cashless Town: ‘Tân binh’ AppotaPay hút 5.000 khách tham quan,/le-hoi-cashless-town-tan-binh-appotapay-hut-5-000-khach-tham-quan-20230623134148028.htm,2023-06-23,2,947
Chơi xổ số Keno biết ngay kết quả chỉ trong 5 phút,/choi-xo-so-keno-biet-ngay-ket-qua-chi-trong-5-phut-20230608105945384.htm,2023-08-06,0,1151
"4 gameshow trên VieON, ‘Rap Việt mùa 3’ bùng nổ",/4-gameshow-tren-vieon-rap-viet-mua-3-bung-no-20230603105609157.htm,2023-03-06,0,1255
Tin tức giải trí 29-5: Hồng Vân đóng phim của con trai; biến phố cổ Hội An thành sàn diễn thời trang,/tin-tuc-giai-tri-29-5-hong-van-dong-phim-cua-con-trai-bien-pho-co-hoi-an-thanh-san-dien-thoi-trang-20230529162735839.htm,2023-05-29,0,1223
1/3 nữ giới ở Việt Nam không có thời gian giải trí trong ngày,/1-3-nu-gioi-o-viet-nam-khong-co-thoi-gian-giai-tri-trong-ngay-20230520101446874.htm,2023-05-20,0,955
Tin tức giải trí ngày 28-4: Báo Trung Quốc khen Chi Pu là 'mỹ nhân số 1 Việt Nam',/tin-tuc-giai-tri-ngay-28-4-bao-trung-quoc-khen-chi-pu-la-my-nhan-so-1-viet-nam-20230428174127337.htm,2023-04-28,0,1080
Bộ giải mã FPT Play 2022 được vinh danh giải pháp xuất sắc của ngành phần mềm,/bo-giai-ma-fpt-play-2022-duoc-vinh-danh-giai-phap-xuat-sac-cua-nganh-phan-mem-20230428122012567.htm,2023-04-28,0,1131
Nghệ sĩ dính vào quảng cáo 'bẩn' là do thiếu chuyên nghiệp,/nghe-si-dinh-vao-quang-cao-ban-la-do-thieu-chuyen-nghiep-20230326222710184.htm,2023-03-27,0,2229
Pháp cấm công chức dùng TikTok và các ứng dụng giải trí,/phap-cam-cong-chuc-dung-tiktok-va-cac-ung-dung-giai-tri-20230324232935581.htm,2023-03-24,0,824
Chơi gì với 5 phút rảnh rỗi?,/choi-gi-voi-5-phut-ranh-roi-20230207160733603.htm,2023-08-02,0,1128
Loại hình giải trí mới với xổ số trên điện thoại,/loai-hinh-giai-tri-moi-voi-xo-so-tren-dien-thoai-20221224152123977.htm,2022-12-24,1,1050
