Title,URL,Publish Date,Mentioned Times,Word Count
VNUA ký kết hợp tác với tỉnh Miyazaki về phát triển nguồn nhân lực nông nghiệp,/vnua-ky-ket-hop-tac-voi-tinh-miyazaki-ve-phat-trien-nguon-nhan-luc-nong-nghiep-202212301804407.htm,2022-12-30,5,865
TP.HCM sắp có trợ lý ảo ứng dụng trí tuệ nhân tạo để thẩm tra hồ sơ,/tp-hcm-sap-co-tro-ly-ao-ung-dung-tri-tue-nhan-tao-de-tham-tra-ho-so-2022122712263199.htm,2022-12-27,2,1017
10 hoạt động nổi bật của ngành y tế TP.HCM trong năm 2022,/10-hoat-dong-noi-bat-cua-nganh-y-te-tp-hcm-trong-nam-2022-20221220111234219.htm,2022-12-20,2,1295
Đào tạo nhân tài trẻ để kiến tạo tương lai - Samsung thể hiện quyết tâm thực hiện tầm nhìn,/dao-tao-nhan-tai-tre-de-kien-tao-tuong-lai-samsung-the-hien-quyet-tam-thuc-hien-tam-nhin-20221218072144576.htm,2022-12-18,3,1132
Trung Quốc chuẩn bị hạ tầng y tế cho nguy cơ ca mắc COVID-19 tăng vào dịp Tết Nguyên đán tới,/trung-quoc-chuan-bi-ha-tang-y-te-cho-nguy-co-ca-mac-covid-19-tang-vao-dip-tet-nguyen-dan-toi-20221217085804414.htm,2022-12-17,2,952
"Samsung Innovation Campus: Giáo dục nguồn nhân lực chủ chốt, làm chủ tương lai 4.0",/samsung-innovation-campus-giao-duc-nguon-nhan-luc-chu-chot-lam-chu-tuong-lai-40-20221216083415616.htm,2022-12-16,1,1182
Văn hóa trao quyền ở Nestlé: người trẻ được tỏa sáng theo cách riêng của mình,/van-hoa-trao-quyen-o-nestle-nguoi-tre-duoc-toa-sang-theo-cach-rieng-cua-minh-20221214173338048.htm,2022-12-15,4,1536
Tăng cường hợp tác Việt Nam - Tanzania trong lĩnh vực thông tin và truyền thông,/tang-cuong-hop-tac-viet-nam-tanzania-trong-linh-vuc-thong-tin-va-truyen-thong-20221210142456136.htm,2022-10-12,2,890
Thúc đẩy tinh thần sản xuất công nghiệp,/thuc-day-tinh-than-san-xuat-cong-nghiep-20221129104943536.htm,2022-11-29,6,2018
Siêu thị tăng tốc tuyển lao động mùa Tết,/sieu-thi-tang-toc-tuyen-lao-dong-mua-tet-20221122075125726.htm,2022-11-22,3,1743
Khan hiếm nhân sự công nghệ thông tin thực hiện đề án y tế thông minh,/khan-hiem-nhan-su-cong-nghe-thong-tin-thuc-hien-de-an-y-te-thong-minh-2022111515494578.htm,2022-11-15,3,1665
MB Ageas Life lọt top 15 doanh nghiệp tiêu biểu có nguồn nhân lực hạnh phúc,/mb-ageas-life-lot-top-15-doanh-nghiep-tieu-bieu-co-nguon-nhan-luc-hanh-phuc-20221115103324509.htm,2022-11-15,6,921
Trường đại học Phú Yên được công nhận đạt tiêu chuẩn chất lượng giáo dục đại học,/truong-dai-hoc-phu-yen-duoc-cong-nhan-dat-tieu-chuan-chat-luong-giao-duc-dai-hoc-20221113134159586.htm,2022-11-13,3,1139
"Đến năm 2025, xây dựng, vận hành mạng lưới tài năng trẻ Việt Nam toàn cầu",/den-nam-2025-xay-dung-van-hanh-mang-luoi-tai-nang-tre-viet-nam-toan-cau-20221101233056696.htm,2022-01-11,2,1064
"Thêm 10 trường đại học, vì sao chất lượng nguồn nhân lực ĐBSCL vẫn thấp?",/them-10-truong-dai-hoc-vi-sao-chat-luong-nguon-nhan-luc-dbscl-van-thap-20221030173526508.htm,2022-10-30,13,1072
Tin sáng 21-10: Tổng thư ký Liên Hiệp Quốc thăm Việt Nam; Tăng trưởng kinh tế đang tốt,/tin-sang-21-10-tong-thu-ky-lhq-tham-viet-nam-tang-truong-kinh-te-dang-tot-20221020203052725.htm,2022-10-21,1,2048
