Title,URL,Publish Date,Mentioned Times,Word Count
Bạc Liêu hỗ trợ nửa tỉ đồng cho giáo sư về tỉnh làm việc,/bac-lieu-ho-tro-nua-ti-dong-cho-giao-su-ve-tinh-lam-viec-2023092011495589.htm,2023-09-20,0,891
Nhiều hợp đồng tỉ đô chờ ký trong chuyến thăm của tổng thống Mỹ,/nhieu-hop-dong-ti-do-cho-ky-trong-chuyen-tham-cua-tong-thong-my-20230909164454673.htm,2023-09-09,0,1557
Gia tăng nhu cầu nhân lực ngành truyền thông số,/gia-tang-nhu-cau-nhan-luc-nganh-truyen-thong-so-20230724082427141.htm,2023-07-24,0,840
Chuyển đổi số ngành GTVT và bài toán nguồn nhân lực,/chuyen-doi-so-nganh-gtvt-va-bai-toan-nguon-nhan-luc-20230422093714467.htm,2023-04-22,0,647
93 học bổng Vừ A Dính cho học sinh ảnh hưởng bởi COVID-19,/93-hoc-bong-vu-a-dinh-cho-hoc-sinh-anh-huong-boi-covid-19-20230411135343802.htm,2023-11-04,0,846
"Thiếu 24.000 nhân lực y tế dự phòng, tại sao?",/thieu-24-000-nhan-luc-y-te-du-phong-tai-sao-20230404104404917.htm,2023-04-04,0,1122
Trường đại học Kiên Giang chú trọng chất lượng trong tiến trình hội nhập,/truong-dai-hoc-kien-giang-chu-trong-chat-luong-trong-tien-trinh-hoi-nhap-20230315094953403.htm,2023-03-15,0,1111
Tin tức sáng 19-2: Tiêu hủy 'Diệp Bảo - Kem trẻ em' trên toàn quốc; Lệ phí cấp biển số sẽ tăng mạnh?,/tin-tuc-sang-19-2-tieu-huy-diep-bao-kem-tre-em-tren-toan-quoc-le-phi-cap-bien-so-se-tang-manh-20230218223503008.htm,2023-02-19,0,1439
Infographic: TP.HCM hút gần 5 triệu lao động năm 2023,/infographic-tp-hcm-hut-gan-5-trieu-lao-dong-nam-2023-20230204201624849.htm,2023-05-02,0,711
TP.HCM ban hành bộ chỉ số đánh giá chuyển đổi số,/tp-hcm-ban-hanh-bo-chi-so-danh-gia-chuyen-doi-so-20230117213133462.htm,2023-01-17,2,969
Tăng cường hợp tác Việt Nam - Tanzania trong lĩnh vực thông tin và truyền thông,/tang-cuong-hop-tac-viet-nam-tanzania-trong-linh-vuc-thong-tin-va-truyen-thong-20221210142456136.htm,2022-10-12,2,890
Trường đại học Phú Yên được công nhận đạt tiêu chuẩn chất lượng giáo dục đại học,/truong-dai-hoc-phu-yen-duoc-cong-nhan-dat-tieu-chuan-chat-luong-giao-duc-dai-hoc-20221113134159586.htm,2022-11-13,0,1130
"Thêm 10 trường đại học, vì sao chất lượng nguồn nhân lực ĐBSCL vẫn thấp?",/them-10-truong-dai-hoc-vi-sao-chat-luong-nguon-nhan-luc-dbscl-van-thap-20221030173526508.htm,2022-10-30,0,1067
TP.HCM dự báo điều dưỡng thiếu trầm trọng,/tp-hcm-du-bao-dieu-duong-thieu-tram-trong-20220930072940674.htm,2022-09-30,0,1182
Bộ Y tế kiến nghị kéo dài thời gian gia hạn hiệu lực giấy đăng ký lưu hành thuốc,/bo-y-te-kien-nghi-keo-dai-thoi-gian-gia-han-hieu-luc-giay-dang-ky-luu-hanh-thuoc-2022092915335276.htm,2022-09-29,0,1181
Xu hướng sử dụng robot trong sản xuất ở Bắc Mỹ,/xu-huong-su-dung-robot-trong-san-xuat-o-bac-my-20220913120350662.htm,2022-09-13,0,607
"Chuyển đổi số: nghe nói rất nhiều, nhưng doanh nghiệp chưa biết bắt đầu từ đâu",/chuyen-doi-so-nghe-noi-rat-nhieu-nhung-doanh-nghiep-chua-biet-bat-dau-tu-dau-20220823123756791.htm,2022-08-23,2,1238
"Phường đông dân rất khó tuyển cán bộ, công chức về làm việc",/phuong-dong-dan-rat-kho-tuyen-can-bo-cong-chuc-ve-lam-viec-2022081915324432.htm,2022-08-19,0,1051
Australia xem xét nâng trần nhập cư để tăng nguồn cung lao động,/australia-xem-xet-nang-tran-nhap-cu-de-tang-nguon-cung-lao-dong-2022081710474015.htm,2022-08-17,0,886
"Thiếu hụt lao động, Canada mời một số lượng kỷ lục người nhập cư",/thieu-hut-lao-dong-canada-moi-mot-so-luong-ky-luc-nguoi-nhap-cu-20220812141431799.htm,2022-12-08,0,662
"Cuba dập được lửa tại 1 bồn chứa dầu, 16 lính cứu hỏa vẫn đang mất tích",/cuba-dap-duoc-lua-tai-1-bon-chua-dau-16-linh-cuu-hoa-van-dang-mat-tich-20220808102856047.htm,2022-08-08,0,785
'Mong bộ trưởng Bộ Nội vụ xem xét từ công việc thực tế để đánh giá đúng',/mong-bo-truong-noi-vu-xem-xet-tu-cong-viec-thuc-te-de-danh-gia-dung-2022062610332557.htm,2022-06-26,0,1373
"Doanh nghiệp ngoại 'khát' nhân lực, lương 41 triệu đồng/tháng vẫn khó kiếm người",/doanh-nghiep-ngoai-khat-nhan-luc-luong-41-trieu-dong-thang-van-kho-kiem-nguoi-20220606094750634.htm,2022-06-06,0,1506
Việt Nam cần thêm 320.000 nhân viên y tế ngành điều dưỡng,/viet-nam-can-them-320000-nhan-vien-y-te-nganh-dieu-duong-20220506180540225.htm,2022-06-05,0,923
Viettel đón nhận thực tập sinh tham gia các dự án chuyển đổi số quốc gia,/viettel-don-nhan-thuc-tap-sinh-tham-gia-cac-du-an-chuyen-doi-so-quoc-gia-20220419110256684.htm,2022-04-19,0,919
Bộ trưởng Đào Ngọc Dung: 'Các cơ sở giáo dục nghề nghiệp vẫn còn lạc hậu',/bo-truong-dao-ngoc-dung-cac-co-so-giao-duc-nghe-nghiep-van-con-lac-hau-202201181340364.htm,2022-01-18,0,1546
Kinh tế số và bài toán nguồn nhân lực,/kinh-te-so-va-bai-toan-nguon-nhan-luc-20220112181939986.htm,2022-01-13,0,1484
Một số địa phương TP.HCM thiếu nhân lực tiêm vắc xin mũi 3 cộng đồng,/mot-so-dia-phuong-tp-hcm-thieu-nhan-luc-tiem-vac-xin-mui-3-cong-dong-20211224161746817.htm,2021-12-24,0,1127
"F0 cao nhất nước, Cà Mau đề nghị Bộ Y tế hỗ trợ khẩn cấp từ thuốc đến nhân lực",/f0-cao-nhat-nuoc-ca-mau-de-nghi-bo-y-te-ho-tro-khan-cap-tu-thuoc-den-nhan-luc-20211216172552316.htm,2021-12-16,0,740
Chủ tịch Phan Văn Mãi: Chuyển đổi số có sứ mệnh mới hậu COVID-19,/chu-tich-phan-van-mai-chuyen-doi-so-co-su-menh-moi-hau-covid-19-20211216100452446.htm,2021-12-16,0,1267
Nâng tầm nhân lực công nghệ thông tin,/nang-tam-nhan-luc-cong-nghe-thong-tin-20211209083142085.htm,2021-09-12,0,1232
"Tin sáng 3-12: Tăng số ca 1%, tử vong tăng 35%, bắt đầu điều động nhân lực chi viện",/tin-sang-3-12-tang-so-ca-1-tu-vong-tang-35-bat-dau-dieu-dong-nhan-luc-chi-vien-20211202194827417.htm,2021-03-12,0,2069
Hiến kế giải pháp công nghệ phát triển TP.HCM: 4 lĩnh vực nên ưu tiên đầu tư,/hien-ke-giai-phap-cong-nghe-phat-trien-tphcm-4-linh-vuc-nen-uu-tien-dau-tu-20211125093751711.htm,2021-11-25,0,832
Australia: Các siêu thị lớn thiếu trầm trọng nhân viên trước mùa Giáng sinh,/australia-cac-sieu-thi-lon-thieu-tram-trong-nhan-vien-truoc-mua-giang-sinh-20211122113358823.htm,2021-11-22,0,774
‘Giải pháp tài chính số’ công cụ cần thiết cho doanh nghiệp vừa và nhỏ,/giai-phap-tai-chinh-so-cong-cu-can-thiet-cho-doanh-nghiep-vua-va-nho-20211118143154283.htm,2021-11-19,0,1338
Quảng Ninh thông qua 5 nghị quyết quan trọng,/quang-ninh-thong-qua-5-nghi-quyet-quan-trong-20211113170351668.htm,2021-11-13,0,981
Bộ Quốc phòng chi viện thêm nhân sự cho 102 trạm y tế lưu động tại TP.HCM,/bo-quoc-phong-chi-vien-them-nhan-su-cho-102-tram-y-te-luu-dong-tai-tphcm-20210913081629417.htm,2021-09-13,0,794
"Nhân viên được cấp 'giấy đi đường', nhiều siêu thị, cửa hàng mở cửa lại",/nhan-vien-duoc-cap-giay-di-duong-nhieu-sieu-thi-cua-hang-mo-cua-lai-20210831212830949.htm,2021-08-31,0,927
"TP.HCM xin tăng cường 4.000 cán bộ chiến sĩ Quân khu 7, 2.000 y bác sĩ và 30 xe cứu thương",/tp-hcm-xin-tang-cuong-4-000-can-bo-chien-si-quan-khu-7-2-000-y-bac-si-va-30-xe-cuu-thuong-20210821094640807.htm,2021-08-21,0,704
Tổng công ty Điện lực TP.HCM: Con người là trung tâm của chuyển đổi số,/tong-cong-ty-dien-luc-tp-hcm-con-nguoi-la-trung-tam-cua-chuyen-doi-so-20210807094213978.htm,2021-07-08,0,1388
"Tiếp sức tuyến đầu, vững thành trì chống dịch",/tiep-suc-tuyen-dau-vung-thanh-tri-chong-dich-20210731101850046.htm,2021-07-31,0,1405
Đã có hơn 6.000 nhân viên y tế chi viện cho TP.HCM chống dịch,/da-co-hon-6000-nhan-vien-y-te-chi-vien-cho-tphcm-chong-dich-20210727181633935.htm,2021-07-27,0,874
"ĐBSCL: Dịch COVID-19 diễn biến phức tạp, dân thực hiện chỉ thị 16 khá nghiêm túc",/dbscl-dich-covid-19-dien-bien-phuc-tap-dan-thuc-hien-chi-thi-16-kha-nghiem-tuc-2021072121123212.htm,2021-07-21,0,1277
Bình Dương lấy mẫu xét nghiệm hàng chục ngàn người ở phường Bình Chuẩn,/binh-duong-lay-mau-xet-nghiem-hang-chuc-ngan-nguoi-o-phuong-binh-chuan-20210624224415234.htm,2021-06-24,0,847
Ba em nhỏ chết đuối trong khi tắm biển ở Thanh Hóa,/ba-em-nho-chet-duoi-trong-khi-tam-bien-o-thanh-hoa-20210610063919216.htm,2021-10-06,0,565
Đào tạo nguồn nhân lực chất lượng phục vụ chuyển đổi số tại EVNGENCO 3,/dao-tao-nguon-nhan-luc-chat-luong-phuc-vu-chuyen-doi-so-tai-evngenco-3-20210608110935922.htm,2021-08-06,0,915
"Điều động nhân lực 9 sở y tế, 5 bệnh viện giúp Bắc Giang chữa ca COVID-19 nặng",/dieu-dong-nhan-luc-9-so-y-te-5-benh-vien-giup-bac-giang-chua-ca-covid-19-nang-20210601114318965.htm,2021-01-06,0,869
Lời giải bài toán nhân lực ngành Tài chính - Ngân hàng trong kỷ nguyên số,/loi-giai-bai-toan-nhan-luc-nganh-tai-chinh-ngan-hang-trong-ky-nguyen-so-20210517114722744.htm,2021-05-17,0,1162
42% doanh nghiệp Đức gặp khó trong tuyển nhân sự tại Việt Nam,/42-doanh-nghiep-duc-gap-kho-trong-tuyen-nhan-su-tai-viet-nam-20210512144928529.htm,2021-12-05,0,694
"6.000 học sinh dự tư vấn tuyển sinh tại Hải Phòng: Kinh tế số, nên học ngành nào?",/6-000-hoc-sinh-du-tu-van-tuyen-sinh-tai-hai-phong-kinh-te-so-nen-hoc-nganh-nao-2020122709434352.htm,2020-12-27,0,1429
"Doanh nghiệp kêu khó, gặp 'rào cản vô hình' khi đầu tư vào Đà Nẵng",/doanh-nghiep-keu-kho-gap-rao-can-vo-hinh-khi-dau-tu-vao-da-nang-2020122513264247.htm,2020-12-25,0,1578
Làm sao tăng chất lượng nguồn nhân lực lao động nông thôn?,/lam-sao-tang-chat-luong-nguon-nhan-luc-lao-dong-nong-thon-20201130151637118.htm,2020-11-30,0,1497
Số doanh nghiệp Nhật Bản đưa ra chương trình nghỉ hưu sớm tăng mạnh,/so-doanh-nghiep-nhat-ban-dua-ra-chuong-trinh-nghi-huu-som-tang-manh-20201110143036573.htm,2020-10-11,0,884
Bộ GD-ĐT nói 'không quên biên soạn sách giáo khoa tiếng dân tộc thiểu số',/bo-gd-dt-noi-khong-quen-bien-soan-sach-giao-khoa-tieng-dan-toc-thieu-so-20200707171334327.htm,2020-07-07,0,1166
Giáo dục phổ thông thế kỷ 21 tại trường THPT FPT Đà Nẵng,/giao-duc-pho-thong-the-ky-21-tai-truong-thpt-fpt-da-nang-20200625161513705.htm,2020-06-30,0,1258
"Rộng mở cơ hội cho SV học văn báo chí, văn hóa du lịch, QHQT",/rong-mo-co-hoi-cho-sv-hoc-van-bao-chi-van-hoa-du-lich-qhqt-20200611085442304.htm,2020-12-06,0,1869
Thị trường nhân lực IT và cơn khát tuyển dụng,/thi-truong-nhan-luc-it-va-con-khat-tuyen-dung-20200602202754618.htm,2020-03-06,0,1350
"Tranh thủ dân số vàng, Thủ tướng yêu cầu phát triển nhân lực có kỹ năng nghề",/tranh-thu-dan-so-vang-thu-tuong-yeu-cau-phat-trien-nhan-luc-co-ky-nang-nghe-20200529131910747.htm,2020-05-29,0,627
"Thiết bị y tế 140 tỉ mua xong không xài, 'trùm mền', hư hỏng...",/thiet-bi-y-te-140-ti-mua-xong-khong-xai-trum-men-hu-hong-20200504230834038.htm,2020-05-05,0,1172
Saigon Co.op đảm bảo thực phẩm an toàn cho các khu cách ly,/saigon-coop-dam-bao-thuc-pham-an-toan-cho-cac-khu-cach-ly-20200408171446293.htm,2020-09-04,0,1610
COVID-19: Thông tin các khu cách ly tập trung ở Hà Nội quá tải là sai,/covid-19-thong-tin-cac-khu-cach-ly-tap-trung-o-ha-noi-qua-tai-la-sai-20200318102853206.htm,2020-03-18,0,1331
Sức hấp dẫn của báo chí - truyền thông trong kỷ nguyên số,/suc-hap-dan-cua-bao-chi-truyen-thong-trong-ky-nguyen-so-20200310142629149.htm,2020-10-03,0,1747
1.900 nhà đầu tư Nhật Bản đang làm ăn tại Việt Nam,/1-900-nha-dau-tu-nhat-ban-dang-lam-an-tai-viet-nam-20200113112545042.htm,2020-01-13,0,894
