Title,URL,Publish Date,Mentioned Times,Word Count
EU tiến tới số hóa thủ tục xin và cấp thị thực Schengen,/eu-tien-toi-so-hoa-thu-tuc-xin-va-cap-thi-thuc-schengen-20230615144525015.htm,2023-06-15,0,757
Làm thế nào để trở thành một Digital Marketing Manager chuyên nghiệp? (phần 1),/lam-the-nao-de-tro-thanh-mot-digital-marketing-manager-chuyen-nghiep-phan-1-20230525181357385.htm,2023-12-06,0,2132
Cần 'số hóa' kho dữ liệu lịch sử,/can-so-hoa-kho-du-lieu-lich-su-20230222121622709.htm,2023-02-22,1,946
Thành Đoàn TP.HCM 'chuyển đổi số': Làm chứ không bàn nữa,/thanh-doan-tp-hcm-chuyen-doi-so-lam-chu-khong-ban-nua-20230210154353349.htm,2023-10-02,0,1181
Phó thủ tướng Vũ Đức Đam: Có dữ liệu mà không truy cập được như xây nhà không móng,/pho-thu-tuong-vu-duc-dam-co-du-lieu-ma-khong-truy-cap-duoc-nhu-xay-nha-khong-mong-20221122131820029.htm,2022-11-22,1,1001
Số hóa dữ liệu đất đai tại TP.HCM chậm vì thiếu vốn,/so-hoa-du-lieu-dat-dai-tai-tp-hcm-cham-vi-thieu-von-20220929211340576.htm,2022-09-29,7,1073
Bị cáo vụ Nhật Cường: Ông Nguyễn Đức Chung chỉ đạo dừng thầu ngay trước giờ mở thầu,/bi-cao-vu-nhat-cuong-ong-nguyen-duc-chung-chi-dao-dung-thau-ngay-truoc-gio-mo-thau-20220711170510162.htm,2022-11-07,3,1384
"CEO Techcombank: ‘Số hóa, dữ liệu và con người là chìa khóa để chuyển đổi doanh nghiệp thành công’",/ceo-techcombank-so-hoa-du-lieu-va-con-nguoi-la-chia-khoa-de-chuyen-doi-doanh-nghiep-thanh-cong-20220512165524768.htm,2022-12-05,0,2331
Hóa đơn mua hàng vài nghìn đồng nhưng có cơ hội trúng tới 50 triệu đồng,/hoa-don-mua-hang-vai-nghin-dong-nhung-co-co-hoi-trung-toi-50-trieu-dong-20220419135256933.htm,2022-04-19,0,1157
Sao chưa số hóa giấy xác nhận F0?,/sao-chua-so-hoa-giay-xac-nhan-f0-20220310014545294.htm,2022-10-03,0,3007
Google tạm thời tắt cập nhật dữ liệu trên Maps tại Ukraine,/google-tam-thoi-tat-cap-nhat-du-lieu-tren-maps-tai-ukraine-20220228104640837.htm,2022-02-28,0,720
"Saigon Co.op ứng dụng giải pháp công nghệ mới, tăng trải nghiệm cho khách hàng",/saigon-coop-ung-dung-giai-phap-cong-nghe-moi-tang-trai-nghiem-cho-khach-hang-20220124163548738.htm,2022-01-24,0,828
"Bị cáo Nguyễn Đức Chung: 'Chưa thấy ai quy kết kiểu vợ làm, chồng chịu như thế này'",/bi-cao-nguyen-duc-chung-chua-thay-ai-quy-ket-kieu-vo-lam-chong-chiu-nhu-the-nay-20211229174324206.htm,2021-12-29,3,1133
Sẽ xổ số hóa đơn mua hàng,/se-xo-so-hoa-don-mua-hang-20211003080749251.htm,2021-03-10,0,1794
‘Tech’ dẫn dắt số hóa và trải nghiệm sống,/tech-dan-dat-so-hoa-va-trai-nghiem-song-20210922182709441.htm,2021-09-22,0,1723
Dùng công nghệ truy vết ngăn dịch COVID-19,/dung-cong-nghe-truy-vet-ngan-dich-covid-19-20210601111009132.htm,2021-01-06,1,1626
Huế ra mắt trung tâm điều hành '4 không 1 có' ở UBND tỉnh,/hue-ra-mat-trung-tam-dieu-hanh-4-khong-1-co-o-ubnd-tinh-20210528170256852.htm,2021-05-28,0,943
"Số hóa dữ liệu nhưng không nên thu hồi sổ hộ khẩu giấy, được không?",/so-hoa-du-lieu-nhung-khong-nen-thu-hoi-so-ho-khau-giay-duoc-khong-20210327204124142.htm,2021-03-27,3,1465
"Dữ liệu của tất cả học sinh TP.HCM đã được số hóa, mã hóa",/du-lieu-cua-tat-ca-hoc-sinh-tp-hcm-da-duoc-so-hoa-ma-hoa-20201218161029662.htm,2020-12-18,0,793
Phải sớm số hóa dữ liệu đất đai,/phai-som-so-hoa-du-lieu-dat-dai-20200918081040827.htm,2020-09-18,2,1621
