Title,URL,Publish Date,Mentioned Times,Word Count
Loại hình giải trí mới với xổ số trên điện thoại,/loai-hinh-giai-tri-moi-voi-xo-so-tren-dien-thoai-20221224152123977.htm,2022-12-24,0,1050
Hơn 110 doanh nghiệp ở TP Thủ Đức tìm hiểu chuyển đổi số,/hon-110-doanh-nghiep-o-tp-thu-duc-tim-hieu-chuyen-doi-so-20221125105758762.htm,2022-11-25,1,971
Sao chưa số hóa giấy xác nhận F0?,/sao-chua-so-hoa-giay-xac-nhan-f0-20220310014545294.htm,2022-10-03,1,3007
"Chuyển đổi số ngân hàng: đưa robot vào hoạt động, tự động hóa quy trình",/chuyen-doi-so-ngan-hang-dua-robot-vao-hoat-dong-tu-dong-hoa-quy-trinh-20210907185957512.htm,2021-07-09,0,1327
HDBank số hóa quy trình mở tài khoản tại quầy,/hdbank-so-hoa-quy-trinh-mo-tai-khoan-tai-quay-20210505185107625.htm,2021-05-05,5,1011
TPBank giành danh hiệu 'Ngân hàng số xuất sắc nhất Việt Nam',/tpbank-gianh-danh-hieu-ngan-hang-so-xuat-sac-nhat-viet-nam-20210411113426508.htm,2021-12-04,0,836
"Tỉ lệ ghi sai chỉ số côngtơ giảm nhanh do xử nghiêm cán bộ, quy trình ngặt nghèo",/ti-le-ghi-sai-chi-so-congto-giam-nhanh-do-xu-nghiem-can-bo-quy-trinh-ngat-ngheo-20210406110434013.htm,2021-06-04,0,1245
Ngân hàng thu hút nhân tài bằng công nghệ,/ngan-hang-thu-hut-nhan-tai-bang-cong-nghe-20210107180124568.htm,2021-08-01,2,1396
"Buôn lậu hàng trăm container hàng, nhóm cán bộ hải quan Cảng Sài Gòn hầu tòa",/buon-lau-hang-tram-container-hang-nhom-can-bo-hai-quan-cang-sai-gon-hau-toa-20200723145722917.htm,2020-07-23,0,1058
"Chỉ số điện tăng hơn 30%, nhân viên sẽ kiểm tra lại dữ liệu ngay",/chi-so-dien-tang-hon-30-nhan-vien-se-kiem-tra-lai-du-lieu-ngay-20200701141256437.htm,2020-01-07,0,888
"Nhiều hóa đơn tiền điện tăng đột biến, EVN thiết lập ‘cảnh báo tự động’",/nhieu-hoa-don-tien-dien-tang-dot-bien-evn-thiet-lap-canh-bao-tu-dong-20200630122251822.htm,2020-06-30,0,1051
Lãnh đạo EVN: Có thể có sai sót ghi chỉ số điện nhưng 'không ai hưởng lợi',/lanh-dao-evn-co-the-co-sai-sot-ghi-chi-so-dien-nhung-khong-ai-huong-loi-20200625180100046.htm,2020-06-25,0,1434
Prudential Việt Nam chi hơn 1 triệu USD để huấn luyện 'khởi nghiệp trực tuyến',/prudential-viet-nam-chi-hon-1-trieu-usd-de-huan-luyen-khoi-nghiep-truc-tuyen-20200511143508399.htm,2020-11-05,0,910
"Hàng ùn ứ ở biên giới, kiến nghị lập ngay quy trình thống nhất kiểm dịch y tế",/hang-un-u-o-bien-gioi-kien-nghi-lap-ngay-quy-trinh-thong-nhat-kiem-dich-y-te-20200320162048057.htm,2020-03-20,0,734
