Title,URL,Publish Date,Mentioned Times,Word Count
Trung tâm công nghệ cao Trung Quốc bỏ hạn chế mua bất động sản để kích cầu,/trung-tam-cong-nghe-cao-trung-quoc-bo-han-che-mua-bat-dong-san-de-kich-cau-20221230211258717.htm,2022-12-30,0,950
"Chứng khoán 2022: Giảm 52% so với đỉnh lịch sử, nhưng khối ngoại vẫn mạnh dạn mua ròng",/chung-khoan-2022-giam-52-so-voi-dinh-lich-su-nhung-khoi-ngoai-van-manh-dan-mua-rong-20221230155843477.htm,2022-12-30,0,1352
Thước đo về thị trường nhà ở của tỉ phú Buffett vừa 'lóe' ên tín hiệu gì ?,/thuoc-do-ve-thi-truong-nha-o-cua-ti-phu-buffett-vua-loe-en-tin-hieu-gi-20221230154336091.htm,2022-12-30,0,894
6 điểm nhấn của thị trường ô tô Việt năm 2022: Doanh số bùng nổ và nhiều điều chưa từng có,/6-diem-nhan-cua-thi-truong-o-to-viet-nam-2022-doanh-so-bung-no-va-nhieu-dieu-chua-tung-co-2022122617355684.htm,2022-12-27,0,2075
Toyota Veloz Cross giải ‘cơn khát’ của người dùng,/toyota-veloz-cross-giai-con-khat-cua-nguoi-dung-20221224145735336.htm,2022-12-26,0,1340
"Giao dịch đất nền gấp 4 lần so với giao dịch chung cư, nhà riêng",/giao-dich-dat-nen-gap-4-lan-so-voi-giao-dich-chung-cu-nha-rieng-20221223165325378.htm,2022-12-23,0,937
Doanh số Suzuki tháng 11-2022: xe ‘xanh’ được thị trường đón nhận,/doanh-so-suzuki-thang-11-2022-xe-xanh-duoc-thi-truong-don-nhan-20221222140107178.htm,2022-12-22,0,1343
Chất sống năng động tại dự án dành cho người trẻ Quy Nhơn,/chat-song-nang-dong-tai-du-an-danh-cho-nguoi-tre-quy-nhon-20221220171633634.htm,2022-12-20,0,1584
"Xe mới bán tại Việt Nam: Mẫu nhất phân khúc, mẫu loay hoay tìm đường",/xe-moi-ban-tai-viet-nam-mau-nhat-phan-khuc-mau-loay-hoay-tim-duong-20221214163851058.htm,2022-12-15,0,1187
"Bừng tỉnh với 'cuộc đời hữu hạn', giới giàu có đang cố tận hưởng cuộc sống xa hoa?",/bung-tinh-voi-cuoc-doi-huu-han-gioi-giau-co-dang-co-tan-huong-cuoc-song-xa-hoa-20221215163707728.htm,2022-12-15,0,1195
"Ứng dụng công nghệ sẽ giúp 'chốt đơn' nhà, đất nhanh hơn",/ung-dung-cong-nghe-se-giup-chot-don-nha-dat-nhanh-hon-20221215113225979.htm,2022-12-15,0,1359
