Title,URL,Publish Date,Mentioned Times,Word Count
20 nữ sinh bị phát tán ảnh khỏa thân do AI tạo ra,/20-nu-sinh-bi-phat-tan-anh-khoa-than-do-ai-tao-ra-20230920162819723.htm,2023-09-21,5,998
Tác giả 'Trò chơi vương quyền' kiện công ty tạo ra ChatGPT,/tac-gia-tro-choi-vuong-quyen-kien-cong-ty-tao-ra-chatgpt-20230921144651792.htm,2023-09-21,1,870
"TP.HCM đang có 9 triệu phương tiện lưu thông, hướng tới công nghệ mới hơn",/tp-hcm-dang-co-9-trieu-phuong-tien-luu-thong-huong-toi-cong-nghe-moi-hon-20230919193515301.htm,2023-09-19,1,1139
Elon Musk cảnh báo mối nguy hiểm lớn về AI tại Thượng viện Mỹ,/elon-musk-canh-bao-moi-nguy-hiem-lon-ve-ai-tai-thuong-vien-my-20230915165246343.htm,2023-09-15,4,933
NASA gia nhập cuộc đua tìm kiếm UFO,/nasa-gia-nhap-cuoc-dua-tim-kiem-ufo-20230915172454981.htm,2023-09-15,3,929
Ứng dụng AI trong giáo dục ra sao?,/ung-dung-ai-trong-giao-duc-ra-sao-20230915101418872.htm,2023-09-15,2,1794
Trường phổ thông lập CLB trí tuệ nhân tạo,/truong-pho-thong-lap-clb-tri-tue-nhan-tao-20230915082821195.htm,2023-09-15,6,611
Các start-up công nghệ giáo dục Việt nhận đầu tư lớn,/cac-start-up-cong-nghe-giao-duc-viet-nhan-dau-tu-lon-20230912173525018.htm,2023-12-09,2,791
Tin tức sáng 12-9: Lần đầu tiên xuất nhập khẩu tháng hơn 60 tỉ USD; 1 người mắc Whitmore ở Thanh Hóa,/tin-tuc-sang-12-9-lan-dau-tien-xuat-khau-thang-tren-60-ti-usd-mot-nguoi-mac-whitmore-o-thanh-hoa-20230911220155711.htm,2023-12-09,1,1325
Hợp tác Việt - Mỹ nghiên cứu thuốc mới và trí tuệ nhân tạo trong y học,/hop-tac-viet-my-nghien-cuu-thuoc-moi-va-tri-tue-nhan-tao-trong-y-hoc-20230910171025796.htm,2023-10-09,6,1506
Trường đại học Công nghệ thông tin mở ngành kỹ thuật thiết kế vi mạch,/truong-dai-hoc-cong-nghe-thong-tin-mo-nganh-ky-thuat-thiet-ke-vi-mach-2023090819100151.htm,2023-08-09,4,1074
UNESCO: Cần các quy định quản lý nghiêm việc sử dụng AI trong trường học,/unesco-can-cac-quy-dinh-quan-ly-nghiem-viec-su-dung-ai-trong-truong-hoc-20230908142025029.htm,2023-08-09,4,967
Công ty Trung Quốc ra mắt ứng dụng 'tốt hơn' ChatGPT,/cong-ty-trung-quoc-ra-mat-ung-dung-tot-hon-chatgpt-20230908090557241.htm,2023-08-09,2,843
Muôn sắc thái đáng yêu của học sinh Royal School trong ngày tựu trường,/muon-sac-thai-dang-yeu-cua-hoc-sinh-royal-school-trong-ngay-tuu-truong-20230825165029441.htm,2023-08-26,2,1204
AI là công cụ và 'thảm họa' của điện ảnh,/ai-la-cong-cu-va-tham-hoa-cua-dien-anh-20230825090424375.htm,2023-08-25,6,1388
PC Quảng Trị đạt giải nhì tại Hội thi Sáng tạo kỹ thuật,/pc-quang-tri-dat-giai-nhi-tai-hoi-thi-sang-tao-ky-thuat-20230823111514765.htm,2023-08-23,3,662
Công ty Trung Quốc phóng vệ tinh tự điều khiển bằng AI,/cong-ty-trung-quoc-phong-ve-tinh-tu-dieu-khien-bang-ai-20230821132905338.htm,2023-08-21,4,1147
Chiêu mộ nhân tài AI bằng lương 'khủng',/chieu-mo-nhan-tai-ai-bang-luong-khung-20230821112321265.htm,2023-08-21,2,1396
Khi Hank Williams và Louis Armstrong hát hiphop,/khi-hank-williams-va-louis-armstrong-hat-hiphop-20230820103652913.htm,2023-08-20,3,1241
Nhiều cơ quan báo chí quốc tế đặt tiêu chuẩn với việc sử dụng AI,/nhieu-co-quan-bao-chi-quoc-te-dat-tieu-chuan-voi-viec-su-dung-ai-20230818145330545.htm,2023-08-19,2,928
Mức lương 120 triệu cho lãnh đạo làm khoa học tại TP.HCM: Để có nghiên cứu xứng tầm,/muc-luong-120-trieu-cho-lanh-dao-lam-khoa-hoc-tai-tp-hcm-de-co-nghien-cuu-xung-tam-20230817174648803.htm,2023-08-17,2,1252
Bang California ứng dụng AI để phát hiện cháy rừng,/bang-california-ung-dung-ai-de-phat-hien-chay-rung-20230814144600456.htm,2023-08-14,2,711
Phẫu thuật não tỉnh bằng robot mổ não hiện đại,/phau-thuat-nao-tinh-bang-robot-mo-nao-hien-dai-20230814135540367.htm,2023-08-14,1,471
TP.HCM tăng cường dạy AI cho học sinh,/tp-hcm-tang-cuong-day-ai-cho-hoc-sinh-20230814105011196.htm,2023-08-14,3,854
AI có thể cho biết giá trị tương lai ngôi nhà,/ai-co-the-cho-biet-gia-tri-tuong-lai-ngoi-nha-20230812173555406.htm,2023-12-08,2,899
Công nghệ nhận diện cũng... phân biệt chủng tộc,/cong-nghe-nhan-dien-cung-phan-biet-chung-toc-20230810232616541.htm,2023-11-08,2,1297
Vũ khí AI có phân biệt được dân thường với chiến binh?,/vu-khi-ai-co-phan-biet-duoc-dan-thuong-voi-chien-binh-20230810130920887.htm,2023-10-08,4,1355
Hiểm họa tin tặc dùng công nghệ mới để tấn công mạng,/hiem-hoa-tin-tac-dung-cong-nghe-moi-de-tan-cong-mang-20230803154649193.htm,2023-03-08,2,1140
AI có thể phát hiện ung thư vú chính xác hơn 20%,/ai-co-the-phat-hien-ung-thu-vu-chinh-xac-hon-20-20230803095829464.htm,2023-03-08,4,992
TP.HCM phát động cuộc thi ứng dụng AI vào cuộc sống,/tp-hcm-phat-dong-cuoc-thi-ung-dung-ai-vao-cuoc-song-20230731114223212.htm,2023-07-31,7,847
Công nghệ giúp tăng tuổi thọ con người lên 120 tuổi,/cong-nghe-giup-tang-tuoi-tho-con-nguoi-len-120-tuoi-2023073110200716.htm,2023-07-31,3,783
